aca1,12.0
ala1,21.8
ala2,21.8
alb1,63.0
alc1,60.0
alc2,43.0
alc3,43.0
alc4,65.0
ant1,6.0
ant2,20.0
bel1,59.0
ben1,21.0
ben2,
ber1,40.0
ber2,40.0
ber3,40.0
ber4,40.0
ber5,40.0
ber6,40.0
bur1,50.0
cam1,27.0
ccc1,60.0
ccc2,44.9
ccc3_a,29.9
ccc3_b,65.0
ccc4,43.0
ccg1_b,30.0
ccg1_c,30.0
ccg1_k,55.0
ccg1_l,34.848
clo1,20.0
con1_a,
con1_b,
con2,100.0
cot1,15.0
dal1,55.0
dal2,35.0
dix1,14.5
dub1,35.0
dub2,35.0
dub3,35.0
elc1_a,45.0
elc1_b,45.0
eme1,170.0
epa1,40.0
fai1,30.0
fai2,0.025
fai3,22.0
fai4,25.0
fre1,35.0
fre2,70.0
fre3,35.0
fre4,35.0
gil1,40.0
hay1,34.0
hay2,65.0
hay3_a,65.0
hay3_b,65.0
hay4,65.0
her1,30.0
her2,30.0
laf1,35.0
liv1,22.0
liv2,18.0
liv3,55.0
mar1,35.0
mco1,30.0
men1,18.5
mil1,80.0
moh1,21.0
mor1,6.0
mpt1,75.0
mvw1,
mvw2,80.0
mvw3,80.0
mvw4,80.0
mvw6,
nap1,45.0
new1,
new2,30.0
oak1,9.6
oak2,9.6
oak3,5.5
okd1,125.0
okd1_a,125.0
okd1_b,125.0
okd2,125.0
okd3,300.0
okd4,125.0
okd5,125.0
okd6,125.0
okd7,135.0
okd8,125.0
ori1,10.0
pal1,50.0
pet1,30.0
pin1,35.0
pin2,21.0
pit1,30.0
pit2,30.0
ple1,29.0
plh1,
plh2,40.0
ric1_a,43.0
ric1_b,28.0
ric2,43.0
roh1,
roh2,30.0
rwc1,43.56
rwc2,43.56
rwc3,43.56
sar1,50.0
sar2,5.0
sbr1,40.0
sca1,50.0
scl1,36.0
scl2,95.0
seb1,44.0
sfo1,72.6
sfo10,54.45
sfo11,217.0
sfo12,108.9
sfo2,54.0
sfo3,218.0
sfo4,218.0
sfo5,0.0
sfo6,217.0
sfo7,0.0
sfo8,
sfo9_a,
sfo9_b,108.9
sjo1,350.0
sjo10,30.0
sjo11,30.0
sjo12,30.0
sjo13,95.0
sjo14,
sjo15,30.0
sjo16,95.0
sjo17,
sjo18,30.0
sjo19,30.0
sjo2,250.0
sjo3,250.0
sjo4,350.0
sjo5,250.0
sjo6,250.0
sjo7,250.0
sjo8,250.0
sjo9,30.0
sle1,21.7
sle2,21.7
sle3,75.0
sma1,50.0
sma2,50.0
sma3,50.0
sma4,50.0
spa1,80.0
spa2,50.0
sra1,62.0
sro1,40.0
sro2,40.0
sro3,30.0
sro4,40.0
sro5,18.0
ssf1,50.0
sui1,21.0
sun1,27.0
sun2,45.0
sun3,45.0
sun6,65.0
sun8,45.0
uni1,80.0
vac1,24.0
vac2,24.0
val1,17.4
val2,
vta1_b,20.0
vta1_c,30.0
vta1_d,10.0
vta1_f,60.0
vta1_i,250.0
wal1,100.0
wcc1_a,99.9
wcc1_c,45.0
wcc1_g,30.0
win1,32.0
