parcel_id,max_built_dua,max_built_non_res_far,zoningmodcat
2472,87.0,,53000OKD7bart1NANA
2474,87.0,,53000OKD7bart1NANA
2477,81.0,,53000OKD7bart1NANA
2480,88.0,,53000OKD7bart1NANA
2487,86.0,,53000OKD7bart1NANA
2507,155.0,,53000OKD7bart1NANA
2518,149.0,,53000OKD7bart1NANA
2532,93.0,,53000OKD7bart1NANA
2537,67.0,,53000OKD7bart1NANA
2540,85.0,,53000OKD7bart1NANA
2571,86.0,,53000OKD7bart1NANA
2589,82.0,,53000OKD7bart1NANA
2604,84.0,,53000OKD7bart1NANA
2620,84.0,,53000OKD7bart1NANA
2625,82.0,,53000OKD7bart1NANA
2629,85.0,,53000OKD7bart1NANA
2634,84.0,,53000OKD7bart1NANA
2647,83.0,,53000OKD7bart1NANA
2648,88.0,,53000OKD7bart1NANA
2659,89.0,,53000OKD7bart1NANA
2662,84.0,,53000OKD7bart1NANA
2665,78.0,,53000OKD7bart1NANA
2666,84.0,,53000OKD7bart1NANA
2667,83.0,,53000OKD7bart1NANA
2689,75.0,,53000OKD7bart1NANA
2698,81.0,,53000OKD7bart1NANA
2721,86.0,,53000OKD7bart1NANA
2738,81.0,,53000OKD7bart1NANA
2739,83.0,,53000OKD7bart1NANA
2762,87.0,,53000OKD7bart1NANA
2796,88.0,,53000OKD7bart1NANA
2799,94.0,,53000OKD7bart1NANA
2847,91.0,,53000OKD7bart1NANA
2896,84.0,,53000OKD7bart1NANA
2898,84.0,,53000OKD7bart1NANA
2915,93.0,,53000OKD7bart1NANA
2930,89.0,,53000OKD7bart1NANA
2935,87.0,,53000OKD7bart1NANA
2942,88.0,,53000OKD7bart1NANA
2950,97.0,,53000OKD7bart1NANA
2956,83.0,,53000OKD7bart1NANA
2963,107.0,,53000OKD7bart1NANA
2969,91.0,,53000OKD7brt3NANA
2975,83.0,,53000OKD7bart1NANA
2987,80.0,,53000OKD7bart1NANA
3002,83.0,,53000OKD7brt3NANA
3022,77.0,,53000OKD7bart1NANA
3024,86.0,,53000OKD7bart1NANA
3063,52.0,,53000OKD7brt3NANA
3087,51.0,,53000OKD7brt3NANA
3095,80.0,,53000OKD7brt3NANA
3099,70.0,,53000OKD7brt3NANA
3110,86.0,,53000OKD7brt3NANA
3149,85.0,,53000OKD7brt3NANA
3175,86.0,,53000OKD7brt3NANA
3192,87.0,,53000OKD7brt3NANA
3193,84.0,,53000OKD7brt3NANA
3194,82.0,,53000OKD7brt3NANA
3199,77.0,,53000OKD7brt1NANA
3209,76.0,,53000OKD7brt1NANA
3211,87.0,,53000OKD7brt1NANA
3212,87.0,,53000OKD7brt1NANA
3217,83.0,,53000OKD7brt1NANA
3257,83.0,,53000OKD7brt1NANA
3264,83.0,,53000OKD7brt3NANA
3311,,2.1,53000OKD7brt3NANA
3325,84.0,,53000OKD7brt3NANA
3349,83.0,,53000OKD7brt3NANA
3354,98.0,,53000OKD7brt3NANA
3355,98.0,,53000OKD7brt3NANA
3381,56.0,,53000OKD7brt3NANA
3410,90.0,,53000OKD7brt3NANA
3413,86.0,,53000OKD7brt3NANA
3421,81.0,,53000OKD7brt3NANA
3428,85.0,,53000OKD7brt1NANA
3444,70.0,,53000OKD7brt3NANA
3502,83.0,,53000OKD7brt1NANA
3519,88.0,,53000OKD7brt1NANA
3558,82.0,,53000OKD7brt1NANA
3587,85.0,,53000OKD7brt1NANA
3603,83.0,,53000OKD7brt1NANA
3633,83.0,,53000OKD7brt3NANA
3651,85.0,,53000OKD7brt1NANA
3657,85.0,,53000OKD7brt1NANA
3660,82.0,,53000OKD7brt1NANA
3734,84.0,,53000OKD7brt1NANA
3740,82.0,,53000OKD7brt1NANA
3742,83.0,,53000OKD7brt1NANA
3746,88.0,,53000OKD7brt1NANA
3758,84.0,,53000OKD7brt1NANA
3851,82.0,,53000OKD7brt1NANA
3855,82.0,,53000OKD7brt3NANA
3861,74.0,,53000OKD7brt3NANA
3882,84.0,,53000OKD7brt1NANA
3884,74.0,,53000OKD7brt1NANA
3919,84.0,,53000OKD7brt1NANA
3932,84.0,,53000OKD7brt1NANA
3972,85.0,,53000OKD7brt1NANA
3986,87.0,,53000OKD7brt1NANA
3989,78.0,,53000OKD7brt1NANA
3997,84.0,,53000OKD7brt1NANA
4018,83.0,,53000OKD7brt1NANA
4024,80.0,,53000OKD7brt1NANA
4025,85.0,,53000OKD7brt1NANA
4028,79.0,,53000OKD7brt1NANA
4041,85.0,,53000OKD7brt1NANA
4042,85.0,,53000OKD7brt1NANA
4058,86.0,,53000OKD7brt1NANA
4092,74.0,,53000OKD7brt1NANA
4098,87.0,,53000OKD7brt1NANA
4102,78.0,,53000OKD7brt1NANA
4124,92.0,,53000OKD7brt1NANA
4144,121.0,,53000OKD7brt3NANA
4148,77.0,,53000OKD7brt3NANA
4154,85.0,,53000OKD7brt3NANA
4160,120.0,,53000OKD7brt3NANA
4173,58.0,,53000OKD7b1NANA
4187,75.0,,53000OKD7brt3NANA
4189,70.0,,53000OKD7brt3NANA
4212,84.0,,53000OKD7brt1NANA
4219,76.0,,53000OKD7brt1NANA
4252,89.0,,53000OKD7brt1NANA
4264,73.0,,53000OKD7brt1NANA
4266,88.0,,53000OKD7brt1NANA
4271,73.0,,53000OKD7brt1NANA
4293,84.0,,53000OKD7brt1NANA
4321,89.0,,53000OKD7brt1NANA
4325,83.0,,53000OKD7brt1NANA
4344,106.0,,53000OKD7brt1NANA
4353,101.0,,53000OKD7brt1NANA
4381,74.0,,53000OKD7brt1NANA
4400,88.0,,53000OKD7brt1NANA
4402,88.0,,53000OKD7brt1NANA
4417,87.0,,53000OKD7brt1NANA
4424,82.0,,53000OKD7brt1NANA
4440,82.0,,53000OKD7brt1NANA
4449,85.0,,53000OKD7brt1NANA
4450,85.0,,53000OKD7brt1NANA
4454,81.0,,53000OKD7brt1NANA
