zone_id,SD,ZONE,COUNTY,AGREMPN,FPSEMPN,HEREMPN,RETEMPN,TOTEMP,MWTEMPN,OTHEMPN,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,SHPOP62P,TOTHH,GQPOP,MFDU,SFDU,CIACRE_UNWEIGHTED,RESACRE_UNWEIGHTED,CIACRE,RESACRE,TOTACRE,HHPOP,TOTPOP,EMPRES,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P
1,1,1,1,9.0,14029.0,787.0,248.0,17836,741.0,2022.0,16.0,14.0,5.0,8.0,0.238,43.0,8,60.0,1.0,9.14991145662,2.54006108887,15.0,1.0,20.3,69.0,77.0,30.0,3.0,6.0,29.0,26.0,13.0
2,1,2,1,49.0,21627.0,1916.0,484.0,27139,732.0,2331.0,64.0,40.0,15.0,12.0,0.238,131.0,25,147.0,5.0,15.0639055692,3.84589397024,24.0,1.0,31.1,209.0,234.0,94.0,8.0,18.0,88.0,78.0,42.0
3,1,3,1,0.0,600.0,839.0,105.0,1714,32.0,138.0,117.0,76.0,38.0,23.0,0.238,254.0,46,285.0,9.0,7.30323636572,1.79219463656,2.0,1.0,14.7,406.0,452.0,183.0,15.0,36.0,169.0,152.0,80.0
4,1,4,1,115.0,8812.0,1911.0,448.0,14300,1426.0,1588.0,47.0,43.0,21.0,20.0,0.238,131.0,13,210.0,6.0,9.09633124488,2.92244595288,18.0,1.0,19.3,207.0,220.0,88.0,7.0,18.0,83.0,73.0,39.0
5,1,5,1,2.0,3149.0,4805.0,2366.0,11477,358.0,797.0,246.0,153.0,90.0,71.0,0.238,560.0,90,671.0,22.0,21.2856709717,10.921042807,15.0,1.00000000002,52.7,891.0,981.0,391.0,33.0,79.0,365.0,330.0,174.0
6,1,6,1,1.0,411.0,1927.0,145.0,3043,23.0,536.0,880.0,771.0,321.0,190.0,0.142,2162.0,616,2406.0,0.0,7.529699093,12.5485206927,8.0,7.0,29.0,3192.0,3808.0,1760.0,74.0,216.0,2229.0,904.0,385.0
7,1,7,1,1.0,5240.0,4590.0,243.0,10541,89.0,378.0,1817.0,1097.0,470.0,267.0,0.191,3651.0,445,4174.0,0.0,13.7993203722,15.7452664395,14.0,13.0,45.0,5390.0,5835.0,2938.0,167.0,410.0,2612.0,1843.0,803.0
8,1,8,1,6.0,1150.0,1622.0,365.0,3694,45.0,506.0,2936.0,958.0,373.0,196.0,0.25,4463.0,2214,4898.0,19.0,10.9422549574,17.1827909317,15.0,8.3304220082,51.0,7359.0,9573.0,3060.0,376.0,846.0,3068.0,3496.0,1787.0
9,1,9,1,0.0,2676.0,7384.0,118.0,21528,114.0,11236.0,2582.0,1392.0,663.0,295.0,0.163,4932.0,640,5504.0,35.0,41.7116556156,22.4281690683,47.0,9.27506988543,112.0,8434.0,9074.0,3795.0,370.0,920.0,4345.0,2369.0,1070.0
10,1,10,1,0.0,1103.0,2276.0,125.0,7663,123.0,4036.0,2236.0,495.0,300.0,176.0,0.148,3207.0,97,3578.0,5.0,25.18212225,18.5041859197,35.0,9.34243786751,73.5,5517.0,5614.0,2769.0,160.0,494.0,2447.0,1974.0,539.0
11,1,11,1,0.0,761.0,1996.0,2470.0,7387,159.0,2001.0,1423.0,690.0,370.0,199.0,0.148,2682.0,156,2923.0,10.0,32.7528946018,14.8537347597,38.0,12.5886183674,81.0,4613.0,4769.0,2376.0,136.0,420.0,2079.0,1677.0,457.0
12,1,12,1,12.0,2705.0,4320.0,582.0,11381,266.0,3496.0,210.0,247.0,133.0,109.0,0.09,699.0,9,984.0,0.0,28.6096281929,7.59070568848,16.0,1.0,53.3,1054.0,1063.0,698.0,9.0,13.0,628.0,363.0,50.0
13,1,13,1,0.0,8412.0,1301.0,892.0,11658,156.0,897.0,0.0,1.0,2.0,3.0,0.09,6.0,9,8.0,0.0,12.7835204946,2.15097801455,19.3762501755,1.0,26.5,9.0,18.0,6.0,0.0,0.0,11.0,6.0,1.0
14,1,14,1,9.0,11883.0,1186.0,240.0,19627,2730.0,3579.0,54.0,94.0,65.0,96.0,0.09,309.0,6,422.0,0.0,15.8193863289,2.17097505569,26.0,1.0,30.6,468.0,474.0,300.0,5.0,5.0,280.0,162.0,22.0
15,1,15,1,4.0,5822.0,1360.0,156.0,9952,520.0,2090.0,55.0,74.0,56.0,95.0,0.09,280.0,45,319.0,0.0,10.4022482661,4.90677927723,14.0,3.0,28.5,423.0,468.0,291.0,4.0,6.0,276.0,160.0,22.0
16,1,16,1,65.0,4664.0,3912.0,3323.0,15479,336.0,3179.0,633.0,453.0,465.0,641.0,0.076,2192.0,122,2644.0,15.0,39.1104008632,23.1974392569,72.6036718319,6.76418996297,123.4,3603.0,3725.0,2538.0,79.0,101.0,2420.0,974.0,151.0
17,1,17,1,5.0,2224.0,914.0,295.0,7110,164.0,3508.0,1106.0,730.0,884.0,1282.0,0.076,4002.0,394,4526.0,25.0,32.5964101502,42.2251711533,36.0,23.1724159108,152.3,6574.0,6968.0,4713.0,147.0,188.0,4527.0,1824.0,282.0
18,1,18,1,22.0,1414.0,709.0,325.0,4935,396.0,2069.0,174.0,230.0,204.0,294.0,0.056,902.0,344,1087.0,56.0,36.6335240821,21.0007725946,50.0,2.09940815624,107.3,1486.0,1830.0,1004.0,31.0,121.0,1233.0,395.0,50.0
19,1,19,1,0.0,1500.0,333.0,986.0,7401,829.0,3753.0,102.0,93.0,68.0,164.0,0.056,427.0,209,449.0,22.0,59.0695151876,16.870851353,74.0,9.00000000003,125.4,702.0,911.0,482.0,16.0,60.0,613.0,197.0,25.0
20,1,20,1,0.0,529.0,835.0,238.0,2646,375.0,669.0,872.0,420.0,185.0,160.0,0.394,1637.0,326,1689.0,97.0,36.677344751,26.6928084698,35.0,12.0285195906,98.3,2727.0,3053.0,1229.0,68.0,173.0,1040.0,755.0,1017.0
21,1,21,1,0.0,1408.0,1350.0,380.0,5032,144.0,1750.0,2249.0,588.0,276.0,246.0,0.394,3359.0,388,3497.0,117.0,28.6547927012,22.1999491127,44.0,15.055269201,78.9,5598.0,5986.0,2399.0,133.0,340.0,2039.0,1480.0,1994.0
22,1,22,1,2.0,8930.0,3119.0,347.0,13593,379.0,816.0,235.0,300.0,231.0,355.0,0.317,1121.0,18,1291.0,98.0,26.3225488575,16.6162143641,46.0,9.0,87.7,1786.0,1804.0,940.0,28.0,37.0,497.0,807.0,435.0
23,1,23,1,0.0,3346.0,946.0,241.0,7264,1384.0,1347.0,134.0,127.0,95.0,125.0,0.317,481.0,6,553.0,43.0,49.0666215131,9.80014278705,20.0,4.0,90.8,766.0,772.0,410.0,12.0,16.0,213.0,345.0,186.0
24,1,24,1,11.0,6437.0,1275.0,203.0,11197,592.0,2679.0,352.0,153.0,42.0,54.0,0.369,601.0,7,669.0,0.0,14.0381323551,9.14630259319,20.403578318,2.0,39.0,966.0,973.0,311.0,32.0,47.0,214.0,394.0,286.0
25,1,25,1,0.0,217.0,618.0,329.0,1428,84.0,180.0,849.0,383.0,155.0,109.0,0.41,1496.0,6,1553.0,131.0,2.92836745836,11.0563241036,4.0,4.0,21.0,3285.0,3291.0,1052.0,115.0,419.0,652.0,974.0,1131.0
26,1,26,1,1.0,1695.0,497.0,142.0,2591,94.0,162.0,350.0,186.0,114.0,64.0,0.349,714.0,13,793.0,7.0,3.62406482228,5.49789568607,5.0,2.0,13.0,1538.0,1551.0,583.0,50.0,173.0,411.0,476.0,441.0
27,1,27,1,0.0,75.0,800.0,135.0,1322,31.0,281.0,725.0,386.0,175.0,189.0,0.369,1475.0,0,1542.0,68.0,5.00569833245,11.4440215327,6.0,8.0,26.0,3056.0,3056.0,1263.0,100.0,345.0,778.0,905.0,928.0
28,1,28,1,0.0,224.0,169.0,13.0,535,12.0,117.0,463.0,448.0,339.0,612.0,0.269,1862.0,2,2332.0,0.0,7.55836048091,20.4952438485,5.0,20.0,44.0,3314.0,3316.0,1970.0,110.0,160.0,1323.0,1032.0,691.0
29,1,29,1,1.0,160.0,2423.0,21.0,2695,3.0,87.0,962.0,1018.0,622.0,474.0,0.184,3076.0,329,3692.0,0.0,6.07797124687,19.1817467215,4.0,15.0,37.0,4680.0,5009.0,2792.0,102.0,214.0,2582.0,1444.0,667.0
30,1,30,1,0.0,175.0,743.0,106.0,1800,50.0,726.0,1749.0,1309.0,670.0,352.0,0.139,4080.0,529,4539.0,0.0,9.18419620514,19.0436647601,10.0,14.0,46.0,6901.0,7430.0,3735.0,332.0,676.0,3761.0,1949.0,712.0
31,1,31,1,0.0,783.0,989.0,55.0,1912,27.0,58.0,1228.0,775.0,365.0,247.0,0.171,2615.0,81,2928.0,10.0,4.50024902797,14.6094963072,9.0,8.53555266536,32.0,3881.0,3962.0,2142.0,129.0,245.0,2057.0,1035.0,496.0
