zoningmodcat,max_built_dua,max_built_non_res_far
19402NANANANA,23.0,
20018DUB1NANANA,39.0,
20018DUB1bart3NANA,46.0,6.0
20018DUB2bart3NANA,34.0,
20018DUB3NANANA,22.0,
20018DUB3b2NANA,39.0,
20018NANANANA,30.0,
20018NAb2NANA,13.0,
20956EPA1NANANA,74.0,
20956EPA1b3NANA,77.0,1.3
20956NANANANA,74.0,1.3
20956NAb3NANA,66.0,1.3
21796ELC1_abart2NANA,47.0,
21796ELC1_abrt1NANA,44.0,
21796ELC1_bbart2NANA,53.0,
21796ELC1_bbrt1NANA,47.0,
21796NANANANA,6.0,
21796NAb2NANA,23.0,
21796NAbart2NANA,37.0,
21796NAbrt1NANA,28.0,
22594EME1b1NANA,123.0,5.5
22594EME1b2NANA,120.0,
22594EME1brt1NANA,199.0,
22594OKD6brt1NANA,73.0,
22594OKD8brt1NANA,63.0,
23168NANANANA,9.0,
23168NAb3NANA,10.0,
23182FAI1NANANA,54.0,
23182FAI1b3NANA,85.0,2.1
23182FAI3NANANA,29.0,
23182FAI3b2NANA,43.0,
23182FAI4NANANA,22.0,
23182FAI4b3NANA,36.0,0.9
23182NANANANA,19.0,0.4
23182NAb2NANA,20.0,0.9
25338NANANANA,34.0,0.9
25338NAb3NANA,34.0,1.3
26000FRE1NANANA,46.0,
26000FRE1b2NANA,46.0,
26000FRE1b3NANA,50.0,0.8
26000FRE1brt2NANA,43.0,
26000FRE1brt3NANA,49.0,0.9
26000FRE2NANANA,38.0,
26000FRE2b1NANA,45.0,2.6
26000FRE2b2NANA,34.0,2.5
26000FRE2b3NANA,23.0,
26000FRE2bart2NANA,78.0,
26000FRE3NANANA,46.0,
26000FRE3b2NANA,56.0,
26000FRE3b3NANA,64.0,
26000FRE3bart2NANA,68.0,0.8
26000FRE4NANANA,18.0,0.2
26000FRE4b3NANA,36.0,4.3
26000FRE4bart2NANA,22.0,6.0
26000NANANANA,12.0,0.4
26000NAb1NANA,22.0,
26000NAb3NANA,22.0,
29504GIL1NANANA,29.0,
29504GIL1b2NANA,99.0,0.9
29504NANANANA,12.0,
29504NANAubzNA,4.0,
29504NAb2NANA,30.0,
29504NAb3exp1NA,9.0,
29504VTA1_cb2NANA,108.0,
33000HAY1b2NANA,28.0,
33000HAY1b3NANA,32.0,
33000HAY2b1NANA,155.0,
33000HAY2b2NANA,67.0,
33000HAY2bart2NANA,153.0,
33000HAY3_ab3NANA,23.0,
33000HAY3_bNANANA,85.0,
33000HAY3_bb2NANA,85.0,
33000HAY3_bbart2NANA,85.0,
33000HAY4NANANA,23.0,
33000HAY4b3NANA,34.0,1.3
33000HAY4bart2NANA,59.0,
33000NANANANA,31.0,1.3
33000NAb2NANA,29.0,1.3
33000NAb3NANA,30.0,1.3
33000NAbart2NANA,32.0,
33056NANANANA,22.0,
33308HER1NANANA,37.0,
33308HER1b1NANA,37.0,
33308HER2NANANA,,0.8
33308HER2b1NANA,,0.2
33308HER2b3NANA,38.0,
33308NANANANA,12.0,
33308NAb2NANA,29.0,0.2
33308NAb3NANA,26.0,
33308WCC1_gb1NANA,19.0,
33798NANANANA,5.0,
33798NAbrt2NANA,1.0,
39122LAF1NANANA,23.0,
39122LAF1bart3NANA,44.0,
39122NANANANA,17.0,
39122NAbart3NANA,16.0,
40438NAb3NANA,33.0,
41992LIV1b2NANA,112.0,3.2
41992LIV1b3NANA,107.0,
41992LIV2NANANA,28.0,
41992LIV3NANANA,111.0,
41992NANANANA,39.0,
41992NAb2NANA,35.0,
41992NAb3NANA,37.0,
43280NANANANA,7.0,0.6
43280NAb3NANA,37.0,
43280NAbrt2NANA,59.0,1.3
43280VTA1_dNANANA,,1.3
43280VTA1_db3NANA,82.0,1.3
43294NANANANA,4.0,
46114MAR1b2NANA,44.0,
46114MAR1b3NANA,48.0,
46114NANANANA,27.0,
46114NAb2NANA,12.0,
46870MEN1b3NANA,61.0,
46870MEN1brt2NANA,67.0,6.0
46870MEN1cr3NANA,69.0,6.0
46870NAb3NANA,17.0,
47486MIL1bart1NANA,84.0,6.0
47486MIL1brt2NANA,36.0,
47486NAbrt2NANA,14.0,
47710NANANANA,7.0,
47710NAb3NANA,9.0,
47766MPT1bart1NANA,74.0,5.1
47766MPT1lrt1NANA,30.0,
47766NANANANA,2.0,
47766NAb2NANA,27.0,0.9
47766NAbart1NANA,18.0,
47766NAlrt1NANA,37.0,0.8
47766VTA1_flrt1NANA,11.0,
49187MOR1NANANA,28.0,
49187NANANANA,4.0,0.9
49278MOH1b2NANA,74.0,
49278MOH1b3NANA,74.0,
49278NANANANA,12.0,0.4
49278NAb3NANA,11.0,0.8
49670MVW1lrt1NANA,59.0,1.3
49670MVW2b3NANA,,0.6
49670MVW2brt2NANA,87.0,
49670MVW2cr2NANA,120.0,2.5
49670MVW2lrt1NANA,84.0,
49670MVW2lrt3NANA,75.0,
49670MVW3cr3NANA,79.0,1.3
49670MVW4b2NANA,47.0,2.6
49670MVW4b3NANA,47.0,2.5
49670MVW4brt2NANA,74.0,1.9
49670MVW6NANANA,104.0,
49670MVW6lrt2NANA,104.0,
49670NANANANA,34.0,
49670NAb2NANA,31.0,
49670NAb3NANA,33.0,
49670NAbrt2NANA,23.0,
49670NAcr3NANA,74.0,
