parcel_id,max_built_dua,max_built_non_res_far
1894306,45.0,
98952,137.0,
74311,36.0,
152864,109.0,
74290,38.0,
69167,92.0,
1563502,107.0,
1664428,84.0,
891698,218.0,
891734,207.0,
1547373,81.0,
1547859,86.0,
186218,84.0,
69239,65.0,
186219,55.0,
69051,84.0,
190083,85.0,
69049,84.0,
1665184,27.0,
907561,219.0,
68972,29.0,
1562892,18.0,
891879,212.0,
186491,52.0,
1113684,104.0,
8470,105.0,
186026,47.0,
69964,29.0,
69670,58.0,
1386703,85.0,
902854,336.0,
1363471,46.0,
902870,336.0,
2015524,14.0,
1363156,193.0,
1385143,104.0,
1885525,26.0,
69644,96.0,
176881,18.0,
1547842,86.0,
878043,15.0,
1547379,83.0,
69314,27.0,
1547376,81.0,
1108554,45.0,
69313,27.0,
1549409,85.0,
1417809,46.0,
996592,87.0,
996579,88.0,
996275,87.0,
68486,61.0,
8246,109.0,
996274,87.0,
996271,87.0,
996261,87.0,
1883994,60.0,
996254,87.0,
996282,87.0,
996244,87.0,
996237,87.0,
1549529,81.0,
1548154,75.0,
1434114,90.0,
1362464,201.0,
1434115,91.0,
1392215,109.0,
1434119,90.0,
8211,105.0,
893819,213.0,
1399204,75.0,
843143,35.0,
996574,87.0,
1399354,31.0,
68642,69.0,
1884076,25.0,
1386709,84.0,
996564,87.0,
68631,61.0,
221965,48.0,
68613,64.0,
1549427,83.0,
1884073,24.0,
1362469,196.0,
1884037,63.0,
1884036,64.0,
68548,58.0,
1399206,76.0,
1407143,27.0,
1549436,81.0,
1884032,61.0,
15351,80.0,
1434121,89.0,
70015,36.0,
998610,93.0,
155344,107.0,
14408,109.0,
73842,28.0,
889311,152.0,
1403601,137.0,
1547657,86.0,
73737,51.0,
157680,96.0,
74047,31.0,
73623,28.0,
71837,74.0,
889288,152.0,
157930,92.0,
71306,32.0,
71052,93.0,
1374294,106.0,
159050,106.0,
14556,108.0,
72016,60.0,
1160631,50.0,
74048,31.0,
893753,215.0,
2039203,47.0,
1374216,105.0,
2039204,44.0,
1403687,28.0,
1374231,108.0,
1365761,46.0,
14275,85.0,
153030,46.0,
1113097,107.0,
1014888,60.0,
153882,74.0,
74120,38.0,
2018619,37.0,
1014804,50.0,
889403,153.0,
74052,31.0,
14338,81.0,
154274,74.0,
154281,73.0,
1392252,102.0,
1385197,110.0,
14597,86.0,
159261,104.0,
1433940,94.0,
70140,41.0,
1886017,60.0,
14996,105.0,
1400482,197.0,
1365196,107.0,
1382958,106.0,
70132,42.0,
1365218,107.0,
1382962,106.0,
1650035,78.0,
998715,92.0,
2040389,36.0,
1382968,105.0,
173953,35.0,
1547398,83.0,
1650054,78.0,
1563644,37.0,
70124,42.0,
893775,214.0,
2040367,43.0,
1547405,85.0,
159283,105.0,
70760,24.0,
70640,25.0,
70624,27.0,
1009929,63.0,
14755,84.0,
1009900,64.0,
70584,25.0,
1034765,62.0,
891430,150.0,
70555,26.0,
14846,87.0,
1001699,24.0,
1433928,89.0,
1377266,68.0,
900963,202.0,
1392586,276.0,
1372065,87.0,
1433937,90.0,
14598,88.0,
1375821,56.0,
1549987,106.0,
1397444,103.0,
1088392,29.0,
2111,75.0,
2103,75.0,
1389542,98.0,
515100,33.0,
977059,174.0,
663840,85.0,
977072,181.0,
1412752,84.0,
1987463,22.0,
1734701,39.0,
894294,220.0,
517246,46.0,
977079,183.0,
1412751,86.0,
1396741,110.0,
981382,210.0,
1372679,107.0,
1550303,107.0,
31307,37.0,
2123,75.0,
1516767,99.0,
665724,48.0,
492199,46.0,
2181,151.0,
1747622,83.0,
33913,150.0,
33648,155.0,
1556974,56.0,
1556973,56.0,
1516804,82.0,
2052756,107.0,
2158,55.0,
1741161,61.0,
33502,110.0,
503868,32.0,
504683,49.0,
33470,105.0,
21137,60.0,
1393517,107.0,
1372662,106.0,
520164,46.0,
520399,40.0,
981284,213.0,
1517123,88.0,
892909,213.0,
1545969,140.0,
662340,60.0,
1385339,107.0,
538390,135.0,
1384809,104.0,
540946,38.0,
1392084,101.0,
1327624,107.0,
30023,103.0,
1550321,104.0,
893243,215.0,
543281,141.0,
1372749,105.0,
29477,41.0,
660656,46.0,
1532600,61.0,
1328513,152.0,
1473,84.0,
532997,138.0,
662498,80.0,
1318206,62.0,
663149,61.0,
893251,213.0,
1384758,110.0,
1987498,23.0,
1396727,77.0,
527728,36.0,
528469,137.0,
528472,20.0,
663015,62.0,
21445,90.0,
31149,37.0,
977135,217.0,
1318203,63.0,
662720,46.0,
1732413,60.0,
532095,137.0,
1396626,107.0,
1088597,29.0,
1326879,46.0,
1516606,83.0,
1383319,107.0,
1747767,40.0,
2620,84.0,
36341,107.0,
36297,109.0,
1550733,111.0,
1515514,106.0,
1515528,106.0,
1323519,61.0,
20202,61.0,
976372,152.0,
36036,107.0,
1396820,109.0,
1557066,56.0,
983302,147.0,
677826,46.0,
461060,86.0,
2479,88.0,
1372637,103.0,
35693,46.0,
35979,107.0,
1515505,110.0,
36419,88.0,
20104,104.0,
1515456,103.0,
1079239,61.0,
717387,57.0,
38254,87.0,
1079241,61.0,
2742,85.0,
716452,62.0,
2690,84.0,
5990,209.0,
716007,54.0,
1557166,82.0,
20010,65.0,
1550199,101.0,
2660,84.0,
715886,53.0,
2648,88.0,
1079276,61.0,
456319,89.0,
1954390,28.0,
1377829,39.0,
545332,136.0,
35462,36.0,
676596,42.0,
982403,215.0,
1372642,105.0,
1516075,111.0,
34275,35.0,
1412793,28.0,
2248,71.0,
1712940,90.0,
1548244,135.0,
1546319,134.0,
1412764,84.0,
1516187,84.0,
1713936,92.0,
33929,149.0,
1556731,47.0,
1747932,49.0,
2212,82.0,
2210,84.0,
1516588,33.0,
33957,153.0,
1712904,90.0,
1556982,57.0,
2292,78.0,
982814,213.0,
2413,87.0,
1392124,103.0,
982700,199.0,
1515986,109.0,
1079374,70.0,
1079376,58.0,
676500,46.0,
34842,123.0,
1556996,56.0,
34532,22.0,
1712896,92.0,
982474,218.0,
982469,218.0,
1515998,107.0,
675213,46.0,
1325595,60.0,
1079437,28.0,
982422,217.0,
35299,44.0,
1987564,33.0,
21549,70.0,
28389,23.0,
1332573,84.0,
638313,35.0,
1316386,61.0,
24967,152.0,
638322,35.0,
1550484,107.0,
1550619,109.0,
1393721,84.0,
1545318,107.0,
1412320,26.0,
24557,199.0,
894475,205.0,
1729727,46.0,
1395332,23.0,
24539,106.0,
1391785,41.0,
710,213.0,
1393813,81.0,
24559,199.0,
979652,222.0,
806,217.0,
25005,154.0,
1545901,87.0,
25418,109.0,
25410,105.0,
1545899,88.0,
870,138.0,
1395684,83.0,
22484,94.0,
1545883,86.0,
634237,45.0,
25392,105.0,
635071,34.0,
1385765,110.0,
1393572,107.0,
636253,38.0,
1545841,135.0,
25333,115.0,
898923,218.0,
25043,88.0,
1332716,84.0,
1395549,106.0,
633570,46.0,
1395545,80.0,
623,210.0,
24264,155.0,
1988516,6.0,
23984,106.0,
23983,107.0,
1545721,86.0,
1550547,108.0,
2005891,41.0,
1729813,44.0,
23675,22.0,
1373127,74.0,
23820,26.0,
893186,214.0,
645822,44.0,
1550559,109.0,
978437,110.0,
23745,25.0,
893187,214.0,
23801,23.0,
23834,22.0,
381,215.0,
400,218.0,
1545634,80.0,
24536,108.0,
1093515,27.0,
978296,179.0,
893162,213.0,
24418,106.0,
641883,31.0,
642073,28.0,
24414,120.0,
1137635,45.0,
1545793,138.0,
1375318,137.0,
978618,206.0,
1410972,46.0,
649126,46.0,
426,213.0,
978583,213.0,
1545785,137.0,
643786,47.0,
24380,105.0,
894486,214.0,
454404,57.0,
898957,198.0,
979884,110.0,
561530,39.0,
1392033,108.0,
658463,45.0,
658423,46.0,
2006026,24.0,
1117,209.0,
1391968,40.0,
27396,44.0,
27402,38.0,
1372796,105.0,
658234,47.0,
1169102,83.0,
980733,210.0,
27221,23.0,
1104663,29.0,
1545921,88.0,
27201,28.0,
606702,20.0,
1089135,38.0,
1089090,40.0,
21743,70.0,
27653,25.0,
28037,103.0,
27942,102.0,
545999,38.0,
27866,103.0,
1532601,97.0,
546591,135.0,
547799,46.0,
547816,134.0,
548129,139.0,
27819,102.0,
548817,140.0,
549192,140.0,
980957,212.0,
552239,46.0,
552562,136.0,
658740,46.0,
1241,213.0,
658715,46.0,
658627,45.0,
1550659,106.0,
633412,45.0,
980619,213.0,
1550653,107.0,
1550441,110.0,
631515,35.0,
631543,29.0,
631614,34.0,
1723592,92.0,
631879,30.0,
1372905,103.0,
26107,109.0,
26141,102.0,
1332728,84.0,
22341,60.0,
1169179,85.0,
1409590,84.0,
1730118,83.0,
1412425,84.0,
1730116,82.0,
25442,107.0,
979893,109.0,
22286,59.0,
1550646,106.0,
1412570,86.0,
1090381,28.0,
656253,46.0,
27115,106.0,
27114,106.0,
1542901,62.0,
980335,60.0,
1396436,108.0,
26980,36.0,
1032,216.0,
1393565,105.0,
626281,46.0,
1089589,38.0,
1089694,39.0,
628503,46.0,
654039,43.0,
1412583,84.0,
26262,105.0,
1730214,45.0,
1543956,76.0,
631045,29.0,
656519,46.0,
984122,122.0,
455520,64.0,
1515429,105.0,
1499792,45.0,
390881,82.0,
18779,87.0,
1499812,47.0,
395421,87.0,
733670,26.0,
1355642,46.0,
733239,23.0,
1413200,28.0,
4534,86.0,
1926905,46.0,
400809,32.0,
1800700,33.0,
975402,218.0,
1387873,104.0,
18801,87.0,
1107681,49.0,
410300,32.0,
1288098,107.0,
1499789,47.0,
1413204,29.0,
1926901,63.0,
1701903,62.0,
1479423,61.0,
50632,55.0,
1812351,39.0,
1812331,41.0,
1812151,41.0,
1557463,106.0,
893318,215.0,
18475,87.0,
50502,53.0,
739932,76.0,
4681,79.0,
1377821,29.0,
1383041,108.0,
1499765,46.0,
50464,51.0,
1557421,85.0,
989732,63.0,
1801815,33.0,
413719,45.0,
1413228,27.0,
4450,85.0,
414189,44.0,
1123851,95.0,
1397302,108.0,
1500646,84.0,
426270,84.0,
50181,53.0,
50166,58.0,
18896,105.0,
1075713,54.0,
1500643,82.0,
426829,85.0,
1515433,106.0,
1500754,84.0,
1546536,215.0,
4200,87.0,
1413077,89.0,
1372505,111.0,
729042,61.0,
50105,107.0,
427102,81.0,
729593,77.0,
50220,54.0,
424569,84.0,
1546564,212.0,
1123804,93.0,
1499988,43.0,
1499992,47.0,
416279,32.0,
18834,103.0,
1546562,212.0,
892574,215.0,
418584,45.0,
1546553,215.0,
1500020,48.0,
1387955,137.0,
1355151,42.0,
892592,214.0,
419842,31.0,
50230,51.0,
1500621,45.0,
729747,43.0,
424324,85.0,
1499963,43.0,
1500794,83.0,
990154,99.0,
389205,54.0,
336170,72.0,
336435,58.0,
991257,87.0,
5471,122.0,
346930,47.0,
991063,87.0,
990951,87.0,
1356515,197.0,
5499,122.0,
5412,116.0,
5408,120.0,
990930,87.0,
1397399,110.0,
5365,83.0,
990864,87.0,
5316,84.0,
990821,87.0,
5292,85.0,
5411,121.0,
991261,87.0,
52281,36.0,
991262,87.0,
17383,81.0,
55940,106.0,
991302,87.0,
1375820,69.0,
53779,118.0,
5799,83.0,
1392963,277.0,
1546825,79.0,
1550017,103.0,
991283,87.0,
1397427,104.0,
991281,87.0,
52388,27.0,
52312,24.0,
991278,87.0,
333373,59.0,
1375802,67.0,
991276,87.0,
991274,87.0,
990648,87.0,
389211,54.0,
990597,87.0,
1478377,63.0,
1075516,56.0,
50980,157.0,
50979,156.0,
2048637,107.0,
50978,152.0,
18032,88.0,
50977,156.0,
18105,88.0,
1075489,56.0,
1397387,110.0,
892506,213.0,
18306,110.0,
1356101,61.0,
389189,58.0,
1397385,109.0,
389194,54.0,
50737,55.0,
389203,54.0,
50935,155.0,
368000,31.0,
1548218,137.0,
363539,29.0,
990569,87.0,
1123645,48.0,
893336,215.0,
894975,206.0,
52015,155.0,
974648,206.0,
1700178,60.0,
5117,83.0,
51989,150.0,
358930,2.0,
1866538,29.0,
359091,1.0,
1866522,27.0,
5095,89.0,
1866433,28.0,
51972,152.0,
51820,138.0,
51802,140.0,
51724,150.0,
1413453,27.0,
1501404,84.0,
729338,76.0,
975590,215.0,
892728,214.0,
1712504,92.0,
975834,216.0,
47349,36.0,
46546,104.0,
447443,76.0,
45661,39.0,
1386377,87.0,
1948916,36.0,
447961,75.0,
1712523,29.0,
45617,38.0,
1948942,14.0,
3244,87.0,
892756,213.0,
45504,105.0,
975865,209.0,
723150,84.0,
1397013,109.0,
1354506,89.0,
1546459,107.0,
47780,25.0,
723850,85.0,
47680,89.0,
1412982,81.0,
892723,216.0,
49953,157.0,
986671,56.0,
986637,56.0,
986076,120.0,
3558,82.0,
892726,216.0,
3502,83.0,
3423,89.0,
2008111,40.0,
892727,214.0,
1546468,107.0,
1107309,48.0,
1412943,29.0,
986571,209.0,
892757,213.0,
975914,211.0,
19395,67.0,
1372542,104.0,
2963,107.0,
38674,27.0,
719736,82.0,
1383079,109.0,
38569,26.0,
719576,64.0,
2925,87.0,
39640,38.0,
38386,37.0,
2902,84.0,
2892,88.0,
1396878,72.0,
719108,55.0,
719072,53.0,
1771919,76.0,
19814,61.0,
718228,56.0,
1412815,27.0,
723877,91.0,
41881,120.0,
450007,77.0,
986070,118.0,
986042,117.0,
892758,213.0,
3172,87.0,
3110,86.0,
448837,75.0,
44920,41.0,
44909,40.0,
1372534,103.0,
44770,39.0,
721069,85.0,
44767,41.0,
449347,86.0,
1512483,77.0,
44671,39.0,
449716,82.0,
720400,84.0,
1372533,102.0,
1512381,84.0,
1397140,214.0,
81614,97.0,
445297,60.0,
726629,62.0,
1927032,61.0,
1124564,46.0,
3856,84.0,
443827,77.0,
1546490,213.0,
3851,82.0,
1388853,91.0,
1502136,85.0,
49038,149.0,
1397168,214.0,
444138,61.0,
48974,157.0,
1546489,213.0,
1546478,221.0,
724808,60.0,
49678,153.0,
445341,87.0,
438440,26.0,
975624,215.0,
725966,85.0,
725617,60.0,
1503202,84.0,
1712389,92.0,
49656,153.0,
49641,150.0,
49535,153.0,
49519,147.0,
442758,76.0,
1503637,84.0,
49732,151.0,
1550133,107.0,
975651,214.0,
443304,61.0,
443664,76.0,
1397167,215.0,
1502135,85.0,
48869,146.0,
3740,82.0,
1927036,61.0,
1397144,273.0,
1107508,44.0,
1413061,84.0,
1408741,85.0,
975598,221.0,
986785,117.0,
986763,117.0,
1124529,15.0,
47887,36.0,
1712350,92.0,
975592,215.0,
975591,215.0,
49823,152.0,
1712352,91.0,
4098,87.0,
48737,145.0,
48763,154.0,
444796,78.0,
444799,76.0,
1550144,105.0,
434747,44.0,
445042,78.0,
1546473,217.0,
49755,152.0,
4058,86.0,
445065,79.0,
1501751,85.0,
724354,83.0,
1501885,85.0,
1503203,84.0,
893774,215.0,
191381,30.0,
901091,211.0,
1290890,114.0,
1886614,22.0,
60423,143.0,
113429,114.0,
80896,41.0,
1398548,76.0,
1360167,203.0,
1108251,49.0,
1108249,49.0,
1408189,83.0,
1516700,85.0,
27852,106.0,
1372530,106.0,
49101,154.0,
555240,109.0,
1396803,105.0,
459301,79.0,
252036,45.0,
552570,107.0,
1649187,77.0,
4454,81.0,
68355,55.0,
68354,55.0,
17164,83.0,
114435,273.0,
1445031,46.0,
78731,29.0,
1922393,11.0,
990332,100.0,
1479421,62.0,
1546296,107.0,
311519,61.0,
2486,81.0,
975809,185.0,
24613,194.0,
3416,84.0,
446029,76.0,
1550203,104.0,
1373860,137.0,
1412421,84.0,
897718,212.0,
1329147,198.0,
13570,83.0,
1886319,35.0,
977380,39.0,
252107,52.0,
1545367,106.0,
14246,88.0,
50908,164.0,
1386679,83.0,
70614,29.0,
1841559,2.0,
976963,212.0,
1358,82.0,
1718289,61.0,
900304,216.0,
78969,31.0,
55968,103.0,
1886468,25.0,
1360168,203.0,
868,134.0,
367,210.0,
1385351,111.0,
7472,85.0,
898425,216.0,
60119,139.0,
1407557,182.0,
159642,17.0,
49848,107.0,
35884,105.0,
10028,103.0,
1408219,85.0,
4812,84.0,
1360301,170.0,
892614,216.0,
60122,136.0,
888950,137.0,
64660,87.0,
18415,88.0,
1386614,84.0,
727845,29.0,
251004,47.0,
60106,109.0,
68299,61.0,
8928,37.0,
991318,88.0,
1322440,101.0,
1104693,83.0,
446054,45.0,
1020468,213.0,
7010,111.0,
67584,87.0,
1112408,44.0,
517149,46.0,
1545770,137.0,
1417560,46.0,
1373923,105.0,
266163,47.0,
1500780,85.0,
56541,62.0,
21340,95.0,
59447,110.0,
1397019,107.0,
1694203,62.0,
1385225,104.0,
758063,59.0,
1922872,59.0,
70823,25.0,
18991,63.0,
25484,23.0,
152765,103.0,
153904,76.0,
55983,103.0,
976004,194.0,
976005,194.0,
901694,217.0,
65003,83.0,
1435009,46.0,
4980,123.0,
45499,110.0,
1050260,46.0,
153935,76.0,
1547262,86.0,
1414637,83.0,
1386667,87.0,
1412743,85.0,
1045936,106.0,
1558979,56.0,
69791,30.0,
157983,105.0,
3864,84.0,
1434133,91.0,
1547561,83.0,
6362,213.0,
1665181,83.0,
81580,92.0,
1320101,57.0,
69819,34.0,
50158,58.0,
23935,104.0,
14343,82.0,
548413,136.0,
2048704,99.0,
14204,108.0,
1557460,107.0,
1546732,137.0,
1545868,85.0,
64516,26.0,
157583,87.0,
263795,158.0,
1318194,61.0,
48284,24.0,
978486,111.0,
1396805,110.0,
165251,48.0,
994270,105.0,
67577,87.0,
61559,112.0,
1787298,76.0,
1323013,60.0,
1500039,46.0,
322201,24.0,
21372,59.0,
1172657,65.0,
1547284,82.0,
81619,99.0,
975148,204.0,
1395311,28.0,
757613,59.0,
6740,88.0,
991299,88.0,
1500783,85.0,
1427247,84.0,
1549953,107.0,
1730123,83.0,
59410,109.0,
1545799,137.0,
529151,137.0,
1547477,87.0,
892760,216.0,
157855,91.0,
1323301,62.0,
448011,77.0,
61950,106.0,
25347,106.0,
71993,59.0,
152722,107.0,
1712366,108.0,
894446,238.0,
1577192,84.0,
20323,61.0,
1150368,16.0,
4979,78.0,
1556837,52.0,
1550152,108.0,
901167,216.0,
901169,216.0,
7941,108.0,
971681,74.0,
980080,230.0,
1729808,45.0,
75378,31.0,
1871676,36.0,
174535,43.0,
668354,28.0,
1954171,56.0,
1872336,37.0,
1436105,61.0,
1396957,78.0,
998779,91.0,
389418,58.0,
893140,214.0,
31848,44.0,
73855,28.0,
1723595,92.0,
21393,65.0,
2472,87.0,
891393,155.0,
14506,109.0,
252369,41.0,
633986,84.0,
1433886,90.0,
657475,46.0,
1871803,33.0,
1556893,56.0,
2745,82.0,
1375825,57.0,
1374025,105.0,
1386503,80.0,
978242,213.0,
978241,213.0,
14775,87.0,
8813,35.0,
1547609,86.0,
1797624,49.0,
1285686,61.0,
1926046,46.0,
1872655,36.0,
1396729,77.0,
1550006,107.0,
1712706,91.0,
982503,219.0,
14717,82.0,
