development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,county,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
10,True,,,,,,,21060.0,3.0,,,0,,,residential,107807130809.0,,0.0,,,,,,,,,,,,0.0,0.0,,,1309064,,,,,,,,,,2012.0,,,0.0,,0.0,22.0,,4.0,,False,,,,,,,,S,-122.122719561,37.4114461933,2011.0,
11,True,,,,,,,28301.0,3.0,,,0,,,residential,110412276713.0,,0.0,,,,,,,,,,,,0.0,0.0,,,983309,,,,sfo4,,,,,,2012.0,,,0.0,,0.0,20.0,,5.0,,False,,,,,,,,S,-122.401091414,37.7645999678,2014.0,
12,True,,,,,,,80000.0,3.0,,,0,,,residential,126855075162.0,,0.0,,,,,,,,,,,,0.0,0.0,,,1532756,,,,sjo6,,,,,,2012.0,,,0.0,,0.0,92.0,,4.0,,False,,,,,,,,S,-121.8527622,37.2908090734,2011.0,
13,True,,,,,,,2658.0,10.0,,,0,,,retail,169960489827.0,,5.0,,,,,,,,,,,,0.0,2658.0,,,2050288,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.950132379,37.2846818121,2014.0,
14,True,,,,,,,359490.0,3.0,,,0,,,residential,178546448907.0,,0.0,,,,,,,,,,,,0.0,0.0,,,1387534,,,,sjo5,,,,,,2012.0,,,0.0,,0.0,185.0,,6.0,,False,,,,,,,,S,-121.867455007,37.3662282731,2011.0,
15,True,,,,,,,154280.0,3.0,,,0,,,residential,178546448907.0,,0.0,,,,,,,,,,,,0.0,0.0,,,1387534,,,,sjo5,,,,,,2012.0,,,0.0,,0.0,94.0,,4.0,,False,,,,,,,,S,-121.867455007,37.3662282731,2012.0,
16,True,,,,,,,276000.0,12.0,,,0,,,residential,178546448907.0,,0.0,,,,,,,,,,,,0.0,0.0,,,1387534,,,,sjo5,,,,,,2012.0,,,0.0,,0.0,230.0,,1.0,,False,,,,,,,,S,-121.867455007,37.3662282731,2013.0,
17,True,,,,,,,1118.0,10.0,,,0,,,retail,186857769256.0,,2.0,,,,,,,,,,,,0.0,1118.0,,,216757,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.875745556,37.6631261463,2014.0,
18,True,,,,,,,126000.0,3.0,,,0,,,residential,189056159470.0,,0.0,,,,,,,,,,,,0.0,0.0,,,1329149,,,,sun2,,,,,,2012.0,,,0.0,,0.0,105.0,,1.0,,False,,,,,,,,S,-122.03571699,37.3740138758,2013.0,
19,True,,,,,,,61200.0,1.0,,,0,,,residential,213050406763.0,,0.0,,,,,,,,,,,,0.0,0.0,,,1526676,,,,,,,,,,2012.0,,,0.0,,0.0,51.0,,1.0,,False,,,,,,,,S,-121.906593188,37.2684081066,2011.0,
20,True,,,,,,,31000.0,8.0,,,0,,,industrial,220645125497.0,,32.0,,,,,,,,,,,,0.0,31000.0,,,2036370,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.800599564,38.530226472,2013.0,
21,True,,,,,,,46500.0,3.0,,,0,,,residential,227912798633.0,,0.0,,,,,,,,,,,,0.0,0.0,,,33661,,,,okd5,,,,,,2012.0,,,0.0,,0.0,62.0,,4.0,,False,,,,,,,,S,-122.233016721,37.7805386778,2013.0,
22,True,,,,,,,14820.0,10.0,,,0,,,retail,277043018674.0,,33.0,,,,,,,,,,,,0.0,14820.0,,,1529655,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.880935903,37.2761922146,2012.0,
23,True,,,,,,,1080800.0,13.0,,,0,,,retail,277670017313.0,,2821.0,,,,,,,,,,,,0.0,1080800.0,,,1316163,,,,mvw3,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.109636473,37.4046640846,2013.0,
24,True,,,,,,,160800.0,3.0,,,0,,,residential,306646477352.0,,0.0,,,,,,,,,,,,0.0,0.0,,,1317380,,,,,,,,,,2012.0,,,0.0,,0.0,134.0,,1.0,,False,,,,,,,,M,-122.09546577,37.4038607563,2013.0,
25,True,,,,,,,230000.0,12.0,,,0,,,residential,332841524255.0,,163.0,,,,,,,,,,,,0.0,62744.0,,,974595,,,,sfo4,,,,,,2012.0,,,0.0,,0.0,202.0,,6.0,,False,,,,,,,,S,-122.420322472,37.7668976154,2013.0,
26,True,,,,,,,486000.0,12.0,,,0,,,residential,342554924735.0,,78.0,,,,,,,,,,,,0.0,30000.0,,,141992,,,,ala2,,,,,,2012.0,,,0.0,,0.0,380.0,,1.0,,False,,,,,,,,S,-122.260967432,37.7773628401,2014.0,
27,True,,,,,,,100000.0,3.0,,,0,,,residential,398831002098.0,,0.0,,,,,,,,,,,,0.0,0.0,,,98162,,,,eme1,,,,,,2012.0,,,0.0,,0.0,68.0,,5.0,,False,,,,,,,,S,-122.280386568,37.8277513302,2013.0,
28,True,,,,,,,210200.0,12.0,,,0,,,residential,422610499590.0,,60.0,,,,,,,,,,,,0.0,23000.0,,,110042,,,,ber4,,,,,,2012.0,,,0.0,,0.0,156.0,,1.0,,False,,,,,,,,S,-122.267634608,37.8622916433,2012.0,
29,True,,,,,,,48067.0,3.0,,,0,,,residential,481973760643.0,,0.0,,,,,,,,,,,,0.0,0.0,,,330569,,,,fre3,,,,,,2012.0,,,0.0,,0.0,40.0,,4.0,,False,,,,,,,,M,-121.954519114,37.5347168763,2013.0,
30,True,,,,,,,275000.0,8.0,,,0,,,industrial,518440393755.0,,286.0,,,,,,,,,,,,0.0,275000.0,,,153357,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.150781072,37.7122650366,2014.0,
31,True,,,,,,,6200.0,8.0,,,0,,,industrial,553791432615.0,,6.0,,,,,,,,,,,,0.0,6200.0,,,992995,,,,sfo1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.396460353,37.7385423779,2011.0,
32,True,,,,,,,1700.0,10.0,,,0,,,retail,557217004096.0,,3.0,,,,,,,,,,,,0.0,1700.0,,,2006024,,,,roh2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.710190437,38.3492562172,2013.0,
33,True,,,,,,,200000.0,3.0,,,0,,,residential,575428335225.0,,0.0,,,,,,,,,,,,0.0,0.0,,,366985,,,,dub1,,,,,,2012.0,,,0.0,,0.0,310.0,,5.0,,False,,,,,,,,M,-121.929169729,37.7016707369,2013.0,
34,True,,,,,,,479220.0,4.0,,,0,,,office,588549841760.0,,1349.0,,,,,,,,,,,,0.0,479220.0,,,981661,,,,sfo7,,,,,,2012.0,,,0.0,,0.0,0.0,,14.0,,False,,,,,,,,S,-122.398457748,37.7846274084,2014.0,
35,True,,,,,,,7300.0,4.0,,,0,,,office,589492411391.0,,20.0,,,,,,,,,,,,0.0,7300.0,,,1298135,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.157214991,37.4477776476,2012.0,
36,True,,,,,,,3000.0,10.0,,,0,,,retail,645206977833.0,,6.0,,,,,,,,,,,,0.0,3000.0,,,554428,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.066909319,37.9771247402,2012.0,
37,True,,,,,,,106000.0,4.0,,,0,,,office,718416825416.0,,298.0,,,,,,,,,,,,0.0,106000.0,,,1180311,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.254363902,37.4800158163,2013.0,
38,True,,,,,,,233029.0,3.0,,,0,,,residential,815841307910.0,,0.0,,,,,,,,,,,,0.0,0.0,,,1288092,,,,sjo3,,,,,,2012.0,,,0.0,,0.0,271.0,,4.0,,False,,,,,,,,S,-121.94292514,37.4022836042,2013.0,
39,True,,,,,,,291982.0,3.0,,,0,,,residential,838347701072.0,,0.0,,,,,,,,,,,,0.0,0.0,,,2049001,,,,sjo3,,,,,,2012.0,,,0.0,,0.0,498.0,,5.0,,False,,,,,,,,S,-121.938883395,37.4129825264,2014.0,
40,True,,,,,,,1400.0,10.0,,,0,,,retail,848641541357.0,,3.0,,,,,,,,,,,,0.0,1400.0,,,1339159,,,,mvw4,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.084257659,37.3855910032,2013.0,
41,True,,,,,,,58450.0,3.0,,,0,,,residential,923925429186.0,,0.0,,,,,,,,,,,,0.0,0.0,,,980696,,,,sfo3,,,,,,2012.0,,,0.0,,0.0,67.0,,7.0,,False,,,,,,,,S,-122.409350165,37.7824240657,2014.0,
42,True,,,,,,,53352.0,3.0,,,0,,,residential,952367722360.0,,0.0,,,,,,,,,,,,0.0,0.0,,,1400332,,,,scl1,,,,,,2012.0,,,0.0,,0.0,40.0,,3.0,,False,,,,,,,,S,-121.952102459,37.3523780109,2012.0,
43,True,,,,,,,8300.0,10.0,,,0,,,retail,964982141402.0,,18.0,,,,,,,,,,,,0.0,8300.0,,,1264622,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.126095408,37.4480853121,2014.0,
