development_id,SDEM,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,county,current_units,deed_restricted_units,fees,form,geom_id,inclusionary_units,job_spaces,juris,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,parcel_id,parcel_size,parking_config,parking_ratio,pda,policy_based_revenue_reduction,redfin_sale_year,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,retail_ratio,return_on_cost,stories,subsidized,subsidized_units,superdistrict,total_cost,total_residential_units,total_sqft,vmt_res_cat,x,y,year_built
9438,,2500.0,2432522.80452,0.0,150.0,5627040.57065,12354.1026131,1.0,Contra Costa,0.0,0,0.0,residential,5.59840783199e+12,0.0,0.0,Lafayette,617705.130655,2.0,,,2563928.57229,0.1,0.135040241992,4.0,0.0,0.0,9999.0,727718,123541.026131,surface,0.0,,0.0,2012.0,535.858243815,0.0,535.858243815,10500.9872211,4.0,,0.840569500634,1.0,False,0.0,22.0,3050227.93518,0.0,0.0,MH,-122.15358921,37.9000648026,2040.0
9439,,1000.0,84315518.7159,0.0,150.0,381212434.903,450885.126823,3.0,San Francisco,0.0,85,0.0,residential,1.13060018985e+13,85.0,0.0,San Francisco,819791.139679,116.16,,,241848663.581,2.75,2.82352941176,383.0,0.0,0.0,2008.0,983090,163958.227936,deck,0.2,sfo5,58970592.1249,2012.0,1243.34667206,0.0,1243.34667206,383252.3578,383.0,,2.84075625015,4.0,False,0.0,3.0,85135309.8556,0.0,0.0,S,-122.387356286,37.7662450608,2040.0
9440,,1340.0,1223329.55156,0.0,150.0,2967691.39811,5588.53152835,2.0,Santa Clara,0.0,0,0.0,residential,1.61077667948e+12,0.0,0.0,San Jose,27942.6576417,30.492,,,1750747.57269,1.0,1.10352941176,4.0,0.0,0.0,1974.0,1384192,5588.53152835,surface,0.0,,0.0,2012.0,624.744018555,0.0,624.744018555,4750.25179909,4.0,,1.39917402451,2.0,False,0.0,11.0,1251272.2092,0.0,0.0,S,-121.879441542,37.3552867688,2040.0
9441,,2500.0,319991640.251,372409733.658,1285.44250488,1068391832.69,1711185.24198,3.0,Santa Clara,231.0,0,0.0,residential,5.07867293597e+12,0.0,0.0,Palo Alto,386099215.594,40.0,,,369546996.382,2.5,2.70080483984,351.0,0.0,0.0,1986.0,1311949,684474.096793,deck,0.2,,0.0,2012.0,918.173217773,0.0,918.173217773,1454507.45568,582.0,,0.52337031888,3.0,False,0.0,8.0,706090855.844,231.0,426048.906074,S,-122.182177159,37.4359161395,2040.0
9442,,1000.0,16089487.2606,0.0,150.0,73134033.0029,86040.0388269,3.0,San Francisco,0.0,16,0.0,residential,1.36026830165e+13,16.0,0.0,San Francisco,156436.434231,116.16,,,46625338.5416,2.75,2.82352941176,73.0,0.0,0.0,2005.0,888732,31287.2868462,deck,0.2,sfo6,11176993.0908,2012.0,1250.0,0.0,1250.0,73134.0330029,73.0,,2.86997153362,4.0,False,0.0,1.0,16245923.6949,0.0,0.0,S,-122.41508328,37.808508255,2040.0
9443,,2021.8,63985016.4887,0.0,150.0,188744631.36,324961.99334,1.0,Alameda,0.0,0,0.0,residential,1.16909247349e+13,0.0,0.0,Oakland,3249619.9334,11.0,,,120902444.963,0.5,0.600653594771,137.0,0.0,0.0,9999.0,84607,649923.986681,surface,0.0,,0.0,2012.0,683.318394252,0.0,683.318394252,276217.694339,137.0,,1.79821668409,1.0,False,0.0,18.0,67234636.4221,0.0,0.0,MH,-122.127536842,37.7657330513,2040.0
9444,,2500.0,66728035.3418,0.0,150.0,256404571.929,338893.018496,1.0,Contra Costa,0.0,0,0.0,residential,1.5293013773e+13,0.0,0.0,Contra Costa County,6777860.36991,5.5,,,181984182.836,0.25,0.371360665478,115.0,0.0,0.0,9999.0,737689,1355572.07398,surface,0.0,,0.0,2012.0,890.11110026,0.0,890.11110026,288059.065721,115.0,,2.47577668532,1.0,False,0.0,24.0,73505895.7117,0.0,0.0,MH,-121.625251765,37.9125862115,2040.0
9445,,1000.0,4419395.40502,7541806.50696,1169.92530823,18360147.0883,21600.1730451,3.0,San Francisco,0.0,4,0.0,residential,1.38288024741e+13,4.0,0.0,San Francisco,7637807.27605,209.088,,,3986870.05722,4.5,4.51764705882,18.0,0.0,0.0,1927.0,901468,4800.03845446,deck,0.2,sfo3,2394248.2727,2012.0,1250.0,0.0,1250.0,18360.1470883,18.0,,0.330662937555,6.0,False,0.0,1.0,12057202.6811,0.0,9480.0,S,-122.420019291,37.7846463663,2040.0
9446,,2050.0,5421381.13503,1482354.18545,1120.57475815,18732508.9824,27533.6776792,1.0,San Mateo,1.0,0,0.0,residential,1.32722763857e+12,0.0,0.0,San Mateo County,2583701.29262,12.0194974182,,,10727426.5547,0.5,0.665477494389,10.0,0.0,0.0,1972.0,1177881,55067.3553584,surface,0.0,,0.0,2012.0,800.410541534,0.0,800.410541534,23403.6260273,11.0,,1.34007696382,1.0,False,0.0,7.0,8005082.42765,1.0,1945.37009674,M,-122.268777729,37.4741056452,2040.0
9447,,2220.0,1898285.96508,0.0,789.948284912,4159158.0664,8671.9322297,2.0,Alameda,0.0,0,0.0,residential,1.39517343763e+13,0.0,0.0,Dublin,114172.966529,25.0,,,2146699.13479,1.5,1.49894668611,3.0,0.0,0.0,1999.0,369887,5781.28815313,surface,0.0,,0.0,2012.0,564.248774937,0.0,564.248774937,7371.14239524,3.0,,1.06670456777,4.0,False,0.0,15.0,2012458.93161,0.0,0.0,M,-121.956844709,37.6991028305,2040.0
