pda,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sfo1,11345.0,5344.0,2694.0,1956.0,1351.0,7566.0,4298.0,26145.0,27.0,5006.0,1081.0,10001.0,3193.0,6837.0,0.95625421443,20135664.0,770.153528399,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fre2,6059.0,1583.0,1539.0,1670.0,1267.0,1321.0,4455.0,15600.0,19.0,346.0,1355.0,4418.0,5593.0,3869.0,1.04899584488,7435660.0,476.644871795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liv1,575.0,139.0,156.0,145.0,135.0,133.0,316.0,4147.0,6.0,112.0,512.0,1204.0,1652.0,661.0,1.28062360802,2292615.0,552.836990596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
her2,608.0,150.0,192.0,149.0,117.0,663.0,0.0,79.0,0.0,41.0,5.0,11.0,15.0,7.0,0.0,44885.0,568.164556962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fre1,8823.0,1937.0,2464.0,2187.0,2235.0,3931.0,4241.0,4897.0,12.0,619.0,709.0,1067.0,1632.0,858.0,1.07966226138,3462728.0,707.112109455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fre4,1574.0,283.0,383.0,415.0,493.0,1215.0,231.0,11494.0,34.0,5036.0,800.0,2752.0,1083.0,1789.0,1.08852005533,12405539.0,1079.30563772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ple1,1218.0,144.0,299.0,317.0,458.0,60.0,1268.0,13710.0,46.0,2322.0,2326.0,4244.0,1836.0,2936.0,0.917168674699,8383587.0,611.494310722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
her1,85.0,9.0,22.0,32.0,22.0,2.0,88.0,983.0,0.0,166.0,161.0,220.0,171.0,265.0,0.944444444444,535491.0,544.751780264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pit1,3525.0,1484.0,997.0,702.0,342.0,2296.0,1484.0,3849.0,1.0,449.0,387.0,388.0,1294.0,1330.0,0.93253968254,2944830.0,765.089633671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fre3,7259.0,1919.0,1922.0,1868.0,1550.0,2836.0,4342.0,4985.0,16.0,701.0,546.0,1069.0,1467.0,1186.0,1.01128448036,3522673.0,706.654563691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sfo9_a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ric2,3113.0,1027.0,957.0,634.0,495.0,1682.0,1827.0,5748.0,2.0,1787.0,385.0,895.0,902.0,1777.0,0.887147335423,5004734.0,870.691370912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sfo10,6993.0,2077.0,1915.0,1491.0,1510.0,4485.0,3179.0,7576.0,4.0,138.0,1752.0,838.0,3345.0,1499.0,0.912447807933,4275804.0,564.388067582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccc1,348.0,94.0,90.0,98.0,66.0,67.0,333.0,4370.0,12.0,221.0,486.0,1661.0,1159.0,831.0,0.87,2908561.0,665.574599542,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spa1,1580.0,669.0,506.0,273.0,132.0,147.0,1583.0,4315.0,1.0,227.0,454.0,439.0,2556.0,638.0,0.913294797688,2611200.0,605.144843569,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wal1,5232.0,1632.0,1624.0,1246.0,730.0,698.0,5141.0,26581.0,24.0,1878.0,3500.0,10212.0,7317.0,3650.0,0.896043843124,13173144.0,495.584966706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
