juris,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
Livermore,28662,5411,6888,7567,8796,23841,5346.0,41526,283.0,6802,5091,10703,8555,10092,0.982012539829,33372900.0,803.662765496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hayward,47223,13620,14070,10808,8725,27850,17875.0,68618,56.0,17711,6787,10606,16899,16559,1.03276107162,59516915.0,867.365924393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonoma County,60622,12302,16478,15414,16428,56678,10902.0,50357,4548.0,9037,4907,7135,13685,11045,0.89704054454,31998843.0,635.439819687,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fremont,76181,18267,18488,18336,21090,48461,24813.0,92072,169.0,26604,8904,18723,21361,16311,1.03967300816,72131764.0,783.427795638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pleasanton,26647,5435,5641,6243,9328,18119,8265.0,62386,205.0,7083,11005,17336,11824,14933,1.00996816252,35037369.0,561.622303081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dublin,16058,3257,3256,3863,5682,11805,2859.0,20787,75.0,2068,3864,4279,4778,5723,1.09506273868,12884952.0,619.856256314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contra Costa County,59453,12752,15094,13944,17663,49873,11993.0,34483,207.0,4260,4022,8490,9261,8243,0.960996346943,22963518.0,665.937360438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brentwood,16545,2827,3853,4315,5550,16767,1284.0,9877,148.0,454,1840,2112,3014,2309,0.916569719129,6901211.0,698.715298167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Ramon,25910,3540,4893,6032,11445,20605,6059.0,48740,434.0,3721,4158,12821,11271,16335,0.971722172217,26503867.0,543.780611407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oakley,10445,2035,2758,2859,2793,10891,516.0,2924,21.0,158,672,639,873,561,0.915665819234,2068713.0,707.494186047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antioch,32349,6909,8579,8412,8449,28560,6188.0,18996,39.0,1162,4506,3100,6572,3617,0.930960055255,13952887.0,734.517108865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Napa County,11271,1711,2731,2770,4059,11416,1091.0,18529,3172.0,5896,1359,1615,3364,3123,0.901175341809,15991258.0,863.03945167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Francisco,413083,140620,102079,79265,91119,112833,312260.0,720674,623.0,31940,38926,260657,240673,147855,0.971747358813,394177919.859,546.957320313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
