pda,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sfo1,22132.0,14484.0,3355.0,2409.0,1884.0,7566.0,15202.0,31761.0,29.0,5009.0,1462.0,10632.0,6012.0,8617.0,0.972066057625,24009739.0,755.950347911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fre2,9001.0,4156.0,1550.0,1638.0,1657.0,1321.0,7161.0,16735.0,19.0,370.0,1463.0,4483.0,6474.0,3926.0,1.06118839896,7603718.0,454.360203167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liv1,589.0,138.0,153.0,146.0,152.0,133.0,316.0,4266.0,6.0,137.0,580.0,1111.0,1640.0,792.0,1.31180400891,2292615.0,537.415611814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
her2,759.0,215.0,172.0,157.0,215.0,663.0,134.0,25.0,0.0,14.0,0.0,3.0,2.0,6.0,0.952321204517,18615.0,744.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fre1,9325.0,2215.0,2561.0,2198.0,2351.0,3931.0,4440.0,4878.0,12.0,556.0,756.0,970.0,1648.0,936.0,1.11396487875,3456068.0,708.50102501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fre4,1990.0,558.0,438.0,457.0,537.0,1215.0,521.0,12357.0,34.0,5418.0,1059.0,2447.0,1327.0,2072.0,1.14631336406,12328814.0,997.719025653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ple1,3038.0,1824.0,359.0,366.0,489.0,60.0,3072.0,16461.0,46.0,2351.0,2166.0,5134.0,2924.0,3840.0,0.969987228608,8378972.0,509.019622137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
her1,85.0,16.0,23.0,24.0,22.0,2.0,88.0,1102.0,1.0,141.0,184.0,227.0,261.0,288.0,0.944444444444,535491.0,485.926497278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pit1,3559.0,1333.0,958.0,725.0,543.0,2296.0,1484.0,3884.0,1.0,447.0,467.0,380.0,1264.0,1325.0,0.941534391534,2944830.0,758.195159629,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fre3,7638.0,1852.0,1975.0,1914.0,1897.0,2836.0,4473.0,5026.0,15.0,767.0,587.0,1008.0,1432.0,1217.0,1.04501299767,3426553.0,681.765419817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
