pda,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sfo1,32455.0,15159.0,5808.0,5197.0,6291.0,7216.0,26683.0,43225.0,33.0,4379.0,1687.0,14179.0,12425.0,10522.0,0.957402873241,22622641.2527,523.369375423,1136.0,1136.0,0.0,585239006.431,515175.181718,0.0,0.0
fre2,14784.0,6436.0,2486.0,2695.0,3167.0,1460.0,13138.0,16747.0,17.0,296.0,1158.0,4716.0,7202.0,3358.0,1.01274147143,6695283.00004,399.78999224,694.0,694.0,0.0,608686498.554,877069.882643,0.0,0.0
liv1,1476.0,830.0,192.0,192.0,262.0,135.0,1212.0,4807.0,7.0,147.0,599.0,1152.0,1913.0,989.0,1.09576837416,2174045.0,452.266486374,99.0,99.0,0.0,24604742.823,248532.755788,0.0,0.0
her2,2101.0,879.0,381.0,366.0,475.0,1056.0,1182.0,28.0,0.0,11.0,2.0,3.0,5.0,7.0,0.938784629133,18615.0,664.821428571,142.0,142.0,0.0,204904220.721,1442987.46987,0.0,0.0
fre1,10443.0,3296.0,2424.0,2284.0,2439.0,4522.0,5475.0,5996.0,12.0,502.0,954.0,1061.0,2180.0,1287.0,1.04461338402,3409990.03446,568.710812952,183.0,183.0,0.0,240301189.472,1313121.25395,0.0,0.0
fre4,5950.0,2951.0,839.0,984.0,1176.0,5354.0,521.0,17173.0,29.0,7229.0,1539.0,2463.0,2629.0,3284.0,1.01276595745,11935347.0225,695.006523178,396.0,396.0,0.0,703870076.494,1777449.68812,0.0,0.0
ple1,7986.0,5560.0,544.0,731.0,1151.0,131.0,8123.0,19595.0,36.0,1681.0,1300.0,7756.0,4655.0,4167.0,0.967530894112,8575172.0,437.620413371,594.0,594.0,0.0,716369159.294,1206008.68568,0.0,0.0
her1,251.0,139.0,39.0,33.0,40.0,170.0,88.0,1412.0,3.0,118.0,204.0,269.0,499.0,319.0,0.972868217054,535491.0,379.242917847,16.0,16.0,0.0,10063114.067,628944.629185,0.0,0.0
pit1,6264.0,2954.0,1226.0,1046.0,1038.0,2465.0,4076.0,5101.0,1.0,462.0,638.0,513.0,1757.0,1730.0,0.957651735209,2841087.15765,556.966704106,265.0,265.0,0.0,83370538.8784,314605.807088,0.0,0.0
fre3,9985.0,3927.0,1990.0,1940.0,2128.0,3022.0,6680.0,6122.0,15.0,847.0,634.0,1262.0,1959.0,1405.0,1.02916924345,3394856.46993,554.533889241,243.0,243.0,0.0,200399020.709,824687.32802,0.0,0.0
sfo9_a,4400.0,1349.0,933.0,913.0,1205.0,0.0,4562.0,10885.0,3.0,600.0,816.0,5006.0,2729.0,1731.0,0.0,6246849.0,573.895176849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ric2,8286.0,3809.0,1496.0,1328.0,1653.0,1742.0,6924.0,24967.0,5.0,1820.0,760.0,11947.0,6984.0,3451.0,0.956150473113,9835066.324,393.922630833,499.0,499.0,0.0,414827433.839,831317.502684,0.0,0.0
sfo10,16299.0,5387.0,3205.0,3175.0,4532.0,4257.0,12701.0,8857.0,2.0,139.0,1361.0,1165.0,4327.0,1863.0,0.961139285293,4260721.3558,481.056944315,233.0,233.0,0.0,314214239.776,1348558.969,0.0,0.0
ccc1,596.0,127.0,136.0,149.0,184.0,81.0,533.0,6088.0,11.0,227.0,436.0,1996.0,2067.0,1351.0,0.970684039088,2905211.0,477.202858081,1.0,1.0,0.0,877257.91709,877257.91709,0.0,0.0
spa1,1927.0,674.0,583.0,392.0,278.0,145.0,1799.0,6107.0,1.0,274.0,661.0,718.0,3213.0,1240.0,0.991255144033,2614597.80777,428.131293233,16.0,16.0,0.0,5045810.32018,315363.145011,0.0,0.0
wal1,9551.0,3371.0,1693.0,1810.0,2677.0,641.0,9223.0,29510.0,20.0,1291.0,2507.0,9949.0,11474.0,4269.0,0.968268450933,12224349.0,414.244290071,299.0,299.0,0.0,127556953.581,426611.884888,0.0,0.0
pit2,2615.0,938.0,574.0,526.0,577.0,1231.0,1494.0,997.0,1.0,96.0,112.0,106.0,340.0,342.0,0.959633027523,512640.679046,514.183228732,44.0,44.0,0.0,17266885.9078,392429.225177,0.0,0.0
sfo9_b,5529.0,2111.0,1212.0,1010.0,1196.0,2115.0,3744.0,5212.0,2.0,200.0,578.0,815.0,2243.0,1374.0,0.943676395289,2216120.0,425.195702226,159.0,159.0,0.0,76195135.1571,479214.686522,0.0,0.0
sjo7,14394.0,4922.0,2472.0,2991.0,4009.0,3442.0,11326.0,13204.0,21.0,979.0,2046.0,2269.0,5240.0,2649.0,0.974674972914,6082983.31398,460.692465463,498.0,498.0,0.0,106701622.812,214260.28677,0.0,0.0
ccc2,7281.0,6038.0,456.0,429.0,358.0,793.0,6686.0,2672.0,18.0,616.0,366.0,292.0,462.0,918.0,0.973525872443,1696898.0,635.066616766,620.0,620.0,0.0,373465459.092,602363.643697,0.0,0.0
pal1,936.0,319.0,190.0,195.0,232.0,51.0,873.0,4807.0,1.0,286.0,215.0,1842.0,1637.0,826.0,1.01298701299,1845387.0,383.895776992,24.0,24.0,0.0,8259136.53492,344130.688955,0.0,0.0
sfo12,28468.0,5604.0,7611.0,6465.0,8788.0,13109.0,15776.0,15935.0,6.0,476.0,1745.0,2544.0,6621.0,4543.0,0.985563441232,8659351.8982,543.417125711,38.0,38.0,0.0,65352367.4828,1719799.14429,0.0,0.0
hay1,586.0,185.0,163.0,120.0,118.0,278.0,206.0,451.0,0.0,20.0,71.0,46.0,107.0,207.0,1.21074380165,338300.0,750.110864745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sjo8,10072.0,4117.0,1700.0,2032.0,2223.0,2375.0,7999.0,4765.0,0.0,500.0,639.0,586.0,1832.0,1208.0,0.970888760362,2285403.88571,479.62306101,535.0,535.0,0.0,91332786.1665,170715.488162,0.0,0.0
wcc1_g,295.0,126.0,42.0,51.0,76.0,165.0,132.0,76.0,0.0,14.0,8.0,11.0,26.0,17.0,0.993265993266,30875.0,406.25,9.0,9.0,0.0,11733741.9905,1303749.11005,0.0,0.0
