juris,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
Livermore,30909,6502,6708,7421,10278,24185.0,6759.0,48804,311.0,8067,5843,11560,11959,11064,0.998868924509,33253265.0,681.363515286,197.0,197.0,0.0,123900424.75,628936.166245,0.0,0.0
Hayward,53190,16423,14419,11293,11055,31236.0,20265.0,92431,63.0,22038,8267,15569,25920,20574,1.0327954797,59187467.0566,640.342169365,622.0,622.0,0.0,673905208.929,1083448.88895,0.0,0.0
Sonoma County,68599,12597,14711,15960,25331,58399.0,14337.0,63914,4423.0,9002,6599,7980,20745,15165,0.943123075231,31704503.0,496.049425791,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fremont,89922,25642,20328,20268,23684,53736.0,34032.0,114521,170.0,31506,11140,21784,28977,20944,1.0245419743,70750752.527,617.797194637,1528.0,1528.0,0.0,1770643140.61,1158797.86689,0.0,0.0
Pleasanton,34560,10753,5805,7082,10920,21100.0,13308.0,69903,202.0,6041,10083,21954,16055,15568,1.00441757731,35006904.0,500.792584009,874.0,874.0,0.0,1065245403.9,1218816.2516,0.0,0.0
Dublin,23273,7620,4091,4541,7021,14530.0,7654.0,31449,84.0,2085,3895,11430,7808,6147,1.04908943383,15156012.0,481.923495183,743.0,743.0,0.0,981913379.749,1321552.32806,0.0,0.0
Contra Costa County,70746,20451,15822,14937,19536,55103.0,17540.0,41620,205.0,4555,4783,9146,12352,10579,0.973885990391,22651710.0,544.250600673,1049.0,1049.0,0.0,745709397.26,710876.451154,0.0,0.0
Brentwood,29651,12750,3685,4550,8666,24919.0,6393.0,12126,143.0,577,2417,1932,4092,2965,0.946953244762,6599461.0,544.24055748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Ramon,31112,6844,5422,6610,12236,25069.0,6691.0,46122,237.0,2683,3617,15243,11516,12826,0.97959697733,23707642.0,514.02025064,493.0,493.0,0.0,621117877.222,1259873.99031,0.0,0.0
Oakley,16693,5985,2940,3151,4617,11576.0,5993.0,6030,19.0,325,2026,624,1714,1322,0.950139450168,3097046.15612,513.606327716,601.0,601.0,0.0,442329852.727,735989.771592,0.0,0.0
Antioch,41903,12879,8577,8534,11913,34230.0,9820.0,25406,43.0,1662,5669,3346,8893,5793,0.951259931896,13400698.0,527.461938125,910.0,910.0,0.0,842918061.382,926283.583936,0.0,0.0
Napa County,11871,1308,2319,2739,5505,11416.0,1091.0,23252,3066.0,7030,2909,1671,4172,4404,0.949148476853,15991258.0,687.736882849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Francisco,475500,138864,114889,95833,125914,112657.0,371312.0,887802,634.0,26264,39539,369186,272495,179684,0.982500945308,389298612.425,438.497111321,5816.0,5816.0,0.0,3769784768.23,648174.822598,0.0,0.0
San Mateo County,24513,4880,5591,5809,8233,20944.0,4076.0,27469,485.0,4165,1469,7841,7751,5758,0.979736211031,13131441.0,478.045833485,196.0,196.0,0.0,181694021.607,927010.314322,0.0,0.0
Petaluma,27123,6686,6192,6040,8205,20249.0,7944.0,35672,391.0,4829,4184,7240,10894,8134,0.96204731671,20429868.0,572.714397847,498.0,498.0,0.0,212854952.865,427419.584067,0.0,0.0
Santa Rosa,78828,18837,15747,17930,26314,52340.0,30959.0,91662,543.0,7263,10451,13935,38759,20711,0.946325886265,43676717.8523,476.497543718,1143.0,1143.0,0.0,420383307.034,367789.419977,0.0,0.0
Rohnert Park,21053,5459,4409,4613,6572,11443.0,10648.0,13328,85.0,1485,2679,2378,3897,2804,0.953012539043,7603408.0,570.483793517,373.0,373.0,0.0,211572058.963,567217.316253,0.0,0.0
Marin County,30575,5657,7679,7018,10221,24218.0,6914.0,21366,336.0,743,1671,4494,8600,5522,0.982108441475,8860896.0,414.719460826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richmond,56540,21748,13827,10369,10596,25440.0,33119.0,63540,169.0,7932,5418,17019,19125,13877,0.965521952219,30387210.5371,478.237496649,1347.0,1347.0,0.0,866489945.371,643273.901538,0.0,0.0
Pittsburg,27435,9882,5877,5369,6307,19736.0,8954.0,16399,20.0,1845,2881,1659,5491,4503,0.956256535378,9250649.83669,564.098410677,709.0,709.0,0.0,629473337.275,887832.633675,0.0,0.0
Orinda,7039,1221,1640,1613,2565,6508.0,615.0,5136,19.0,177,435,1974,1750,781,0.988207216061,1617200.0,314.875389408,24.0,24.0,0.0,25108101.4798,1046170.89499,0.0,0.0
Alameda,41740,11764,11398,9023,9555,15453.0,25419.0,39570,12.0,3063,2375,10079,13849,10192,1.02123703269,18224425.3113,460.561670742,592.0,592.0,0.0,248864507.276,420379.235264,0.0,0.0
Napa,30272,5691,6656,7024,10901,23364.0,8309.0,36520,401.0,3293,6711,4100,14696,7319,0.955766741389,21706514.0,594.373329682,103.0,103.0,0.0,80379618.2742,780384.643439,0.0,0.0
Hercules,10592,2647,2450,2323,3172,8211.0,2721.0,6063,8.0,1449,521,1103,1655,1327,0.968898646176,3009841.0,496.427676068,186.0,186.0,0.0,248585563.479,1336481.52408,0.0,0.0
Newark,15438,4249,3890,3610,3689,12296.0,2731.0,25621,28.0,5846,4581,3450,6137,5579,1.02735076862,17969737.0,701.367511026,208.0,208.0,0.0,297725182.955,1431371.0719,0.0,0.0
Alameda County,56273,13649,15537,13280,13807,39310.0,16957.0,33685,101.0,3061,3637,5948,12554,8384,1.00010663444,18949257.6009,562.542900427,171.0,171.0,0.0,152989202.793,894673.700544,0.0,0.0
Martinez,15445,3219,4050,3649,4527,12203.0,3624.0,26198,27.0,2402,1690,5352,7235,9492,0.975864029822,11588451.6686,442.341082092,63.0,63.0,0.0,52726401.9699,836927.015396,0.0,0.0
Danville,16529,2309,3392,4022,6806,15365.0,1536.0,12446,37.0,846,1555,3997,3686,2325,0.977989468079,5601366.0,450.053511168,85.0,85.0,0.0,48896385.604,575251.595341,0.0,0.0
Healdsburg,4714,772,938,1142,1862,3915.0,1108.0,9900,184.0,1842,1221,1113,2552,2988,0.9384829783,5573365.0,562.966161616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Concord,65960,19160,15113,14404,17283,40952.0,28889.0,95209,125.0,6960,13541,20207,35067,19309,0.944430921665,44964683.2925,472.273454111,924.0,924.0,0.0,380357340.127,411642.142995,0.0,0.0
