zone_id,SD,ZONE,COUNTY,AGREMPN,FPSEMPN,HEREMPN,RETEMPN,TOTEMP,MWTEMPN,OTHEMPN,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,SHPOP62P,TOTHH,GQPOP,MFDU,SFDU,CIACRE_UNWEIGHTED,RESACRE_UNWEIGHTED,CIACRE,RESACRE,TOTACRE,HHPOP,TOTPOP,EMPRES,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P
1,1,1,1,12.0,18373.0,3230.0,212.0,24653,690.0,2136.0,13.0,8.0,15.0,15.0,0.238,51.0,9,60.0,1.0,9.14991145662,2.54006108887,15.0,1.0,20.3,83,92,36,3.0,7.0,33.0,29.0,20.0
2,1,2,1,58.0,27803.0,6306.0,455.0,38179,760.0,2797.0,33.0,42.0,33.0,34.0,0.238,142.0,28,147.0,5.0,15.8568784685,3.84589397024,24.7929728993,1.0,31.1,227,255,101,8.0,19.0,90.0,82.0,56.0
3,1,3,1,1.0,1196.0,1170.0,102.0,2707,37.0,201.0,96.0,75.0,49.0,61.0,0.238,281.0,51,285.0,9.0,7.62122695076,1.79219463656,2.31799058504,1.0,14.7,450,501,197,16.0,37.0,176.0,162.0,110.0
4,1,4,1,116.0,15252.0,5733.0,409.0,24955,1300.0,2145.0,57.0,64.0,30.0,50.0,0.238,201.0,14,210.0,6.0,9.09633124488,2.92244595288,18.0,1.0,19.3,318,332,130,10.0,25.0,118.0,107.0,72.0
5,1,5,1,5.0,5953.0,6518.0,2029.0,16507,434.0,1568.0,190.0,187.0,140.0,127.0,0.238,644.0,101,671.0,22.0,21.2856709717,10.921042807,15.0,1.00000000002,52.7,1029,1130,453,36.0,85.0,396.0,365.0,248.0
6,1,6,1,1.0,881.0,2152.0,150.0,3928,52.0,692.0,738.0,752.0,427.0,392.0,0.142,2309.0,689,2406.0,0.0,7.529699093,12.5485206927,8.0,7.0,29.0,3422,4111,1894,76.0,225.0,2324.0,960.0,526.0
7,1,7,1,1.0,4920.0,4462.0,290.0,10539,116.0,750.0,1231.0,1060.0,801.0,780.0,0.191,3872.0,498,4174.0,0.0,13.7993203722,15.7452664395,14.0,13.0,45.0,5738,6236,3114,169.0,415.0,2664.0,1915.0,1073.0
8,1,8,1,6.0,1308.0,1705.0,351.0,4128,76.0,682.0,2645.0,891.0,603.0,590.0,0.25,4729.0,2477,4898.0,19.0,10.9422549574,17.1827909317,15.0,8.3304220082,51.0,7827,10304,3365,376.0,850.0,3105.0,3605.0,2368.0
9,1,9,1,7.0,5892.0,10092.0,324.0,30284,522.0,13447.0,2148.0,1488.0,1020.0,1006.0,0.163,5662.0,716,6032.0,35.0,41.3558204592,22.9464167489,47.0,9.79331756595,112.0,9718,10434,4284,405.0,1010.0,4802.0,2667.0,1550.0
10,1,10,1,3.0,2777.0,3648.0,209.0,12275,357.0,5281.0,2942.0,903.0,719.0,746.0,0.148,5310.0,109,5663.0,5.0,24.7114091576,19.5384051593,35.0,10.3766571071,73.5,9169,9278,4582,253.0,784.0,3907.0,3210.0,1124.0
