superdistrict,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
33,43222,8777,11069,9991,13385,31095,14583,52568,402,3554,6217,11861,17278,13256,0.946232321906,31355073.0,596.466919038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,114708,37824,25546,25290,26048,44565,78182,330218,723,113463,15904,94081,49443,56604,0.93450756434,217656393.6,659.129404212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,123957,34809,38633,28919,21596,85466,40655,137193,144,37504,15095,19042,34135,31273,0.982841874073,118244631.2,861.885309017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,105601,22550,26732,27144,29175,73527,30068,125643,229,37026,14037,24392,28777,21182,1.01936386891,112350217.0,894.201961112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,72459,14584,16047,18233,23595,55656,17521,127145,607,16746,19496,34689,24297,31310,0.99018817388,85638137.0,673.547028983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,198770,79949,53699,35110,30012,96100,106870,214464,293,22246,13239,40883,70110,67693,0.979307286791,133455981.4,622.276845531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,87828,20205,24469,23062,20092,81095,16657,47443,343,3694,8975,8297,15759,10375,0.898477780506,34948584.0,736.643635521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,40942,6943,8892,8578,16529,27366,14396,38989,191,1798,5386,9129,15352,7133,0.980364925051,20743667.0,532.038959707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,87867,23645,24603,21048,18571,72517,26857,102129,1644,15144,12340,16949,32819,23233,0.884205124077,64976277.0,636.217695268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,22841,4399,5961,5466,7015,17535,6579,25119,90,1417,2855,9285,6621,4851,0.947209090155,13845919.0,551.212986186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,33335,8253,9557,8160,7365,27839,9636,42200,870,7869,5042,5910,13898,8611,0.889526350901,35310873.0,836.750545024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,119124,24958,27249,28572,38345,85216,41758,125363,275,16566,17981,27153,39722,23666,0.938176319561,72636243.0,579.40734507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,93331,40289,21921,15069,16052,1732,98682,393864,388,16812,18962,181501,103039,73162,0.929462027207,218430848.572,554.584446844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,133913,44370,33164,26810,29569,59589,81025,150028,110,12532,9341,29434,62265,36346,0.952344716742,99058222.8419,660.264902831,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,86305,17241,19601,19713,29750,54827,35061,105641,671,10165,11314,37301,29470,16720,0.960139284443,63609699.0,602.130792022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,32949,7406,9459,8382,7702,33692,6084,28627,2687,4984,2938,3447,7714,6857,0.82836383749,17982706.0,628.172913683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
