superdistrict,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
33,45046,8619,11104,10827,14496,31091.0,14716.0,55394,406,3628,6401,12214,18680,14065,0.983386818609,31315033.0,565.314528649,8.0,8.0,0.0,3322923.25845,415365.407306,0.0,0.0
9,137360,46966,28461,29401,32532,44466.0,97658.0,407279,740,114314,18762,131896,74151,67416,0.966479975233,220660537.264,541.792081752,840.0,840.0,0.0,177281565.348,211049.482557,0.0,0.0
17,133895,40165,38657,29719,25354,85447.0,46321.0,149557,145,37584,16434,21013,38669,35712,1.01614200716,117435949.565,785.22536267,109.0,109.0,0.0,40701541.3701,373408.636423,0.0,0.0
16,111751,26615,28481,27093,29562,73561.0,32980.0,137707,234,39982,16321,24576,31644,24950,1.04890136192,112480646.094,816.811390081,23.0,23.0,0.0,21134464.3664,918889.755062,0.0,0.0
15,76723,15248,16731,18839,25905,55752.0,18969.0,132955,622,16807,20666,34594,27591,32675,1.02679300331,85518967.0,643.217381821,24.0,24.0,0.0,13926703.9481,580279.331171,0.0,0.0
18,223444,87991,56772,41131,37550,95952.0,126295.0,241231,276,22351,14921,48437,84879,70367,1.00538589947,133068146.57,551.621253364,1272.0,1272.0,0.0,464305504.499,365020.050707,0.0,0.0
24,94797,21186,23550,23192,26869,81192.0,17944.0,48140,332,3735,9948,7598,15603,10924,0.956231843125,34901851.7935,725.007307716,127.0,127.0,0.0,39818882.8477,313534.510612,0.0,0.0
34,41545,7749,9967,9329,14500,27366.0,14396.0,41058,189,1827,5476,9263,15951,8352,0.994803888703,20743667.0,505.228384237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,95723,22107,23419,23096,27101,72834.0,29136.0,107393,1618,14158,13771,16803,36185,24858,0.938736883397,64587587.3322,601.413381992,209.0,209.0,0.0,61606742.8882,294769.104728,0.0,0.0
32,23767,4352,5993,5770,7652,17535.0,6579.0,26278,87,1545,2852,8817,7647,5330,0.985610019076,13845919.0,526.90155263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,35579,7334,9156,8842,10247,27869.0,9657.0,42974,861,7899,6342,5349,13799,8724,0.948115972925,35282228.0,821.013356913,2.0,2.0,0.0,1023426.18707,511713.093536,0.0,0.0
