zone_id,SD,ZONE,COUNTY,AGREMPN,FPSEMPN,HEREMPN,RETEMPN,TOTEMP,MWTEMPN,OTHEMPN,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,SHPOP62P,TOTHH,GQPOP,MFDU,SFDU,CIACRE_UNWEIGHTED,RESACRE_UNWEIGHTED,CIACRE,RESACRE,TOTACRE,HHPOP,TOTPOP,EMPRES,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P
1,1,1,1,15.0,21325.0,3530,261.0,28301,481.0,2689.0,5.0,12.0,11.0,31.0,0.238,59.0,11,60.0,1.0,9.14991145662,2.54006108887,15.0,1.0,20.3,98,109,38,3.0,7.0,33.0,31.0,35.0
2,1,2,1,59.0,32619.0,6678,466.0,43868,536.0,3510.0,45.0,44.0,36.0,72.0,0.238,197.0,35,194.0,5.0,15.6753386712,4.02743376757,24.611433102,1.18153979733,31.1,323,358,134,9.0,22.0,108.0,103.0,116.0
3,1,3,1,1.0,1710.0,1089,99.0,3312,27.0,386.0,68.0,90.0,59.0,69.0,0.238,286.0,64,285.0,9.0,7.62122695076,1.79219463656,2.31799058504,1.0,14.7,470,534,216,14.0,33.0,160.0,154.0,173.0
4,1,4,1,110.0,19788.0,5466,418.0,29026,862.0,2382.0,104.0,65.0,69.0,98.0,0.238,336.0,18,336.0,6.0,8.94072969305,3.07804750471,18.0,1.15560155183,19.3,546,564,224,14.0,35.0,170.0,162.0,183.0
5,1,5,1,6.0,9084.0,6250,1741.0,20622,360.0,3181.0,128.0,147.0,150.0,279.0,0.238,704.0,126,705.0,22.0,21.1294722565,11.0772415222,15.0,1.15619871516,52.7,1154,1280,477,33.0,81.0,383.0,369.0,414.0
6,1,6,1,1.0,1449.0,1921,258.0,4825,46.0,1150.0,463.0,652.0,541.0,760.0,0.142,2416.0,863,2477.0,0.0,7.20315296134,12.8750668243,8.0,7.32654613162,29.0,3673,4536,2039,74.0,220.0,2326.0,1006.0,910.0
7,1,7,1,1.0,4727.0,4409,758.0,13095,107.0,3093.0,891.0,1094.0,945.0,1233.0,0.191,4163.0,623,4239.0,0.0,13.7314336194,15.8131531922,14.0,13.0678867527,45.0,6329,6952,3461,159.0,400.0,2611.0,1966.0,1816.0
8,1,8,1,6.0,1498.0,1743,464.0,5289,70.0,1508.0,2627.0,783.0,684.0,823.0,0.25,4917.0,3102,4969.0,19.0,10.7585650266,17.3664808626,15.0,8.51411193907,51.0,8349,11451,3844,341.0,787.0,2922.0,3551.0,3850.0
9,1,9,1,8.0,8578.0,9325,395.0,33539,481.0,14752.0,1487.0,1658.0,1342.0,1698.0,0.163,6185.0,897,6276.0,35.0,40.7424233711,24.0185717681,47.0,10.8654725852,112.0,10892,11789,4818,394.0,1006.0,4857.0,2825.0,2707.0
10,1,10,1,2.0,3856.0,3428,221.0,13778,294.0,5977.0,2069.0,1325.0,1246.0,1565.0,0.148,6205.0,136,6308.0,5.0,23.9303698312,22.322237339,35.0,13.1604892868,73.5,10992,11128,5521,264.0,839.0,4251.0,3658.0,2116.0
11,1,11,1,1.0,5128.0,3585,1578.0,13221,248.0,2681.0,1749.0,808.0,708.0,916.0,0.148,4181.0,219,4266.0,10.0,27.3397715487,20.8792751843,38.0,18.614158792,81.0,7406,7625,3798,181.0,575.0,2913.0,2507.0,1449.0
12,1,12,1,19.0,9365.0,5162,679.0,20120,274.0,4621.0,239.0,271.0,255.0,344.0,0.09,1109.0,13,1131.0,0.0,28.3643362507,8.08393996335,16.0,1.49323427487,53.3,1721,1734,1148,12.0,19.0,950.0,584.0,169.0
13,1,13,1,6.0,18883.0,4031,557.0,25149,199.0,1473.0,2.0,0.0,4.0,3.0,0.09,9.0,13,8.0,2.0,12.7835204946,2.22794140542,19.3762501755,1.07696339087,26.5,14,27,9,0.0,0.0,15.0,9.0,3.0
14,1,14,1,14.0,35260.0,6717,171.0,46014,1323.0,2529.0,71.0,117.0,122.0,233.0,0.09,543.0,8,552.0,0.0,17.2181177196,1.85164391462,27.3987313907,1.0,30.6,847,855,548,8.0,9.0,468.0,288.0,82.0
15,1,15,1,8.0,13592.0,3348,196.0,19938,392.0,2402.0,34.0,59.0,81.0,140.0,0.09,314.0,63,319.0,0.0,10.4022482661,4.90677927723,14.0,3.0,28.5,489,552,352,4.0,7.0,301.0,186.0,54.0
16,1,16,1,68.0,16869.0,7369,2126.0,32736,403.0,5901.0,2107.0,1658.0,1800.0,3570.0,0.076,9135.0,171,9365.0,15.0,36.5073457938,34.4067123674,72.0,17.9734630735,123.4,15461,15632,10859,294.0,387.0,9519.0,4089.0,1343.0
17,1,17,1,5.0,4677.0,3124,506.0,12787,305.0,4170.0,2087.0,971.0,1028.0,1907.0,0.076,5993.0,552,6085.0,25.0,32.052907717,51.2436618239,36.0,32.1909065814,152.3,10138,10690,7529,201.0,265.0,6510.0,2796.0,918.0
18,1,18,1,19.0,2513.0,1945,461.0,7818,347.0,2533.0,515.0,282.0,347.0,670.0,0.056,1814.0,482,1815.0,56.0,33.7221914047,24.0088012485,50.0,5.10743681008,107.3,3077,3559,1995,55.0,219.0,2290.0,783.0,212.0
19,1,19,1,2.0,2988.0,2088,771.0,12320,715.0,5756.0,1601.0,225.0,269.0,501.0,0.056,2596.0,293,2500.0,22.0,47.722109397,28.5123228765,74.0,20.6414715235,125.4,4394,4687,2719,73.0,289.0,3014.0,1032.0,279.0
20,1,20,1,2.0,1299.0,1314,277.0,4541,315.0,1334.0,934.0,537.0,417.0,514.0,0.394,2402.0,457,2332.0,97.0,32.7961833016,31.3312602848,35.0,16.6669714056,98.3,4121,4578,1865,67.0,177.0,1087.0,842.0,2405.0
21,1,21,1,2.0,3821.0,2669,424.0,9530,217.0,2397.0,2034.0,606.0,508.0,686.0,0.394,3834.0,544,3763.0,117.0,28.4345474918,23.4733300118,44.0,16.3286501001,78.9,6580,7124,2898,105.0,276.0,1691.0,1310.0,3742.0
22,1,22,1,9.0,15890.0,4934,374.0,24137,315.0,2615.0,246.0,311.0,373.0,577.0,0.317,1507.0,25,1448.0,98.0,25.0211706087,17.9175926129,46.0,10.3013782488,87.7,2473,2498,1344,28.0,38.0,516.0,894.0,1022.0
23,1,23,1,3.0,7291.0,2973,231.0,13715,934.0,2283.0,236.0,202.0,168.0,241.0,0.317,847.0,8,821.0,43.0,47.1671508356,12.1126101013,20.0,6.31246731425,90.8,1388,1396,770,16.0,21.0,288.0,500.0,571.0
24,1,24,1,13.0,12563.0,3873,369.0,21183,436.0,3929.0,230.0,160.0,151.0,216.0,0.369,757.0,10,769.0,0.0,13.6581208477,9.52631410059,20.0235668106,2.3800115074,39.0,1254,1264,424,28.0,43.0,199.0,392.0,602.0
25,1,25,1,0.0,571.0,661,249.0,2150,51.0,618.0,323.0,464.0,370.0,526.0,0.41,1683.0,8,1584.0,130.0,2.81587712466,11.1688144373,4.0,4.11249033369,21.0,3805,3813,1280,87.0,329.0,521.0,831.0,2045.0
26,1,26,1,3.0,3086.0,1134,133.0,4904,69.0,479.0,158.0,180.0,187.0,286.0,0.349,811.0,18,824.0,7.0,3.62406482228,5.63539873369,5.0,2.13750304762,13.0,1799,1817,641,41.0,144.0,350.0,432.0,850.0
27,1,27,1,0.0,665.0,794,94.0,1992,23.0,416.0,499.0,407.0,350.0,518.0,0.369,1774.0,0,1673.0,66.0,4.6639374874,11.815067889,6.0,8.37104635632,26.0,3785,3785,1560,84.0,299.0,689.0,855.0,1858.0
28,1,28,1,0.0,189.0,189,39.0,686,12.0,257.0,400.0,627.0,541.0,813.0,0.269,2381.0,3,2423.0,0.0,7.55836048091,20.524813111,5.0,20.0295692625,44.0,4364,4367,2741,107.0,161.0,1360.0,1132.0,1607.0
29,1,29,1,1.0,876.0,1979,125.0,3712,16.0,715.0,686.0,1101.0,819.0,1022.0,0.184,3628.0,461,3697.0,0.0,6.07797124687,19.1817467215,4.0,15.0,37.0,5685,6146,3464,101.0,216.0,2671.0,1595.0,1563.0
30,1,30,1,0.0,639.0,895,156.0,2644,41.0,913.0,865.0,1203.0,1011.0,1426.0,0.139,4505.0,741,4612.0,0.0,8.84821623377,19.3796447314,10.0,14.3359799713,46.0,7848,8589,4214,322.0,674.0,3832.0,2119.0,1642.0
31,1,31,1,0.0,940.0,1097,167.0,2895,37.0,654.0,515.0,837.0,669.0,869.0,0.171,2890.0,113,2953.0,10.0,4.48041657445,14.6293287607,9.0,8.55538511888,32.0,4417,4530,2448,120.0,234.0,2006.0,1077.0,1093.0
32,1,32,1,0.0,1078.0,1726,245.0,3903,78.0,776.0,737.0,856.0,748.0,1141.0,0.212,3482.0,32,3428.0,120.0,10.5632935717,28.1585532857,13.0,21.1041684691,58.0,6041,6073,3872,112.0,348.0,2357.0,1441.0,1815.0
33,1,33,1,0.0,653.0,924,180.0,2630,103.0,770.0,582.0,742.0,703.0,1093.0,0.206,3120.0,14,3044.0,125.0,5.99937297075,31.6408257926,9.0,24.3609182882,59.0,6297,6311,3633,148.0,406.0,2438.0,1483.0,1836.0
34,1,34,1,0.0,124.0,261,175.0,765,22.0,183.0,781.0,853.0,643.0,752.0,0.22,3029.0,1,3047.0,0.0,2.77119176329,36.2870287908,4.0,29.0,60.0,5163,5164,3464,90.0,156.0,2194.0,1107.0,1617.0
35,1,35,1,0.0,122.0,113,35.0,373,17.0,86.0,535.0,702.0,630.0,940.0,0.236,2807.0,0,2753.0,111.0,1.84630272438,34.5004908628,2.0,30.0633615911,58.0,5699,5699,3295,153.0,413.0,1895.0,1354.0,1884.0
36,1,36,1,0.0,810.0,1122,278.0,3481,70.0,1201.0,925.0,733.0,603.0,774.0,0.38,3035.0,0,3006.0,65.0,6.36794808232,21.3291628486,7.0,14.0454892537,47.0,6335,6335,2211,148.0,414.0,1169.0,1406.0,3198.0
37,1,37,1,0.0,1672.0,1044,167.0,3717,115.0,719.0,425.0,605.0,548.0,790.0,0.223,2368.0,1,2361.0,57.0,6.66873059806,21.2700826707,8.0,12.4182522624,43.0,4743,4744,2553,125.0,367.0,1497.0,1298.0,1457.0
38,1,38,1,0.0,916.0,569,204.0,2543,55.0,799.0,687.0,666.0,702.0,1210.0,0.201,3265.0,20,3303.0,47.0,9.0796139347,42.403323154,6.0,38.7949491476,83.0,6188,6208,3866,186.0,325.0,2254.0,1739.0,1704.0
39,1,39,1,0.0,116.0,129,45.0,398,8.0,100.0,471.0,532.0,547.0,868.0,0.238,2418.0,0,2328.0,148.0,5.31625914073,36.0943516065,6.0,31.0662830303,67.0,4767,4767,2552,143.0,260.0,1611.0,1170.0,1583.0
40,1,40,1,3.0,1243.0,2448,898.0,6759,844.0,1323.0,685.0,757.0,701.0,1095.0,0.217,3238.0,7,3254.0,0.0,38.0579360684,50.2343221898,28.0,43.0,128.0,5461,5468,3481,118.0,134.0,2195.0,1373.0,1648.0
41,1,41,1,3.0,4293.0,6082,1065.0,15552,910.0,3199.0,906.0,444.0,405.0,571.0,0.237,2326.0,20,2247.0,111.0,87.9903649176,37.1181039593,90.0,20.6150145641,183.0,4299,4319,2239,85.0,232.0,1589.0,965.0,1448.0
42,1,42,1,0.0,38.0,147,16.0,442,20.0,221.0,3610.0,1733.0,1667.0,2295.0,0.019,9305.0,-21,9805.0,144.0,72.1116339103,136.828511035,484.0,217.690782299,628.0,32092,32071,15860,1120.0,4366.0,22600.0,3553.0,432.0
