juris,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
Livermore,29230,5503,6812,7539,9376,23863.0,5404.0,42409,287.0,7038,5400,10510,8921,10253,0.998735777497,33349945.0,786.388384541,8.0,8.0,0.0,2997081.44454,374635.180567,0.0,0.0
Hayward,48191,14038,14167,10939,9047,27848.0,18061.0,72937,57.0,18411,7286,11365,18354,17464,1.04970702912,59471636.0,815.38363245,21.0,21.0,0.0,7605477.38976,362165.589989,0.0,0.0
Sonoma County,62952,11502,16153,15900,19397,56760.0,10936.0,51646,4505.0,8905,5269,7154,14377,11436,0.929922004254,31995283.0,619.511346474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fremont,76999,18111,19218,18520,21150,48495.0,25019.0,96776,171.0,27948,9590,19025,22527,17515,1.04740593628,72094135.0939,744.958823405,23.0,23.0,0.0,21134464.3664,918889.755062,0.0,0.0
Pleasanton,26932,5009,5780,6537,9606,18188.0,8265.0,63494,208.0,6840,10947,17590,12638,15271,1.01810758704,34990549.0,551.084338678,6.0,6.0,0.0,4753396.07844,792232.67974,0.0,0.0
Dublin,16428,3402,3289,3879,5858,11810.0,3004.0,21893,77.0,2093,4072,4475,5248,5928,1.1089509923,12835557.0,586.285890467,10.0,10.0,0.0,6176226.42513,617622.642513,0.0,0.0
Contra Costa County,60993,13206,15297,14230,18260,49883.0,12485.0,35221,202.0,4225,4193,8418,9598,8585,0.97795343766,22840672.0,648.49584055,41.0,41.0,0.0,16972522.6718,413963.967604,0.0,0.0
Brentwood,17014,2673,3658,4322,6361,16767.0,1284.0,10055,146.0,456,2035,2010,3043,2365,0.942551659188,6901211.0,686.346195922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Ramon,26770,4042,4998,6294,11436,20605.0,6597.0,49092,433.0,3676,4162,13660,11650,15511,0.984118814793,26197282.0,533.636478449,52.0,52.0,0.0,22318039.7032,429193.071215,0.0,0.0
Oakley,10814,2087,2681,2804,3242,10983.0,521.0,2860,21.0,163,665,591,865,555,0.940020862309,2061395.85892,720.767782841,9.0,9.0,0.0,4926696.51516,547410.723907,0.0,0.0
Antioch,33376,6933,8594,8418,9431,28540.0,6307.0,19714,39.0,1230,4782,3037,6733,3893,0.957786897007,13940050.0,707.11423354,6.0,6.0,0.0,2842659.2844,473776.547401,0.0,0.0
Napa County,11701,1601,2697,2846,4557,11416.0,1091.0,18569,3147.0,5859,1534,1550,3295,3184,0.93555608859,15991258.0,861.180354354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Francisco,429036,142102,105715,83263,97956,112576.0,325371.0,774659,623.0,31190,37853,293150,259541,152302,0.979652789036,393435508.516,507.882188829,611.0,611.0,0.0,358188225.734,586232.775341,0.0,0.0
San Mateo County,22541,3863,5331,5377,7970,20209.0,2686.0,24590,483.0,4141,1342,6879,6523,5222,0.984538108757,13211192.0,537.258723058,4.0,4.0,0.0,1662558.53527,415639.633818,0.0,0.0
Petaluma,22489,4625,5638,5389,6837,18373.0,4805.0,30146,389.0,5305,4100,5940,7841,6571,0.970273535249,20473718.0,679.152059975,5.0,5.0,0.0,3097629.58105,619525.91621,0.0,0.0
Santa Rosa,68454,16436,16818,16382,18818,49602.0,23358.0,76642,556.0,8067,10028,11788,28501,17702,0.938240131579,45199467.0204,589.748010496,174.0,174.0,0.0,43386393.0963,249347.08676,0.0,0.0
Rohnert Park,17760,4682,4452,4208,4418,9653.0,9126.0,12217,85.0,1486,2235,2451,3360,2600,0.945737259705,7987188.0,653.776540886,38.0,38.0,0.0,22091260.8224,581348.969011,0.0,0.0
Marin County,29846,5576,7124,6801,10345,23832.0,6538.0,18805,342.0,747,1654,3592,7187,5283,0.98274613105,8869061.0,471.633129487,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richmond,45094,17721,11851,8609,6913,24563.0,21800.0,40326,175.0,6909,4798,7898,10294,10252,0.972629036085,27816265.4472,689.784889331,188.0,188.0,0.0,79671936.4015,423786.895753,0.0,0.0
Pittsburg,21413,6656,5473,4860,4424,15541.0,6708.0,11844,20.0,1436,2253,1294,3815,3026,0.962425277541,9379173.93453,791.89242946,95.0,95.0,0.0,27398251.0483,288402.642614,0.0,0.0
Orinda,6817,1080,1467,1460,2810,6496.0,374.0,5395,21.0,196,453,2104,1819,802,0.992285298399,1740740.0,322.658016682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alameda,35852,11163,10255,7518,6916,15124.0,20248.0,32304,12.0,3067,2180,7178,10490,9377,1.01357005541,17340461.0,536.789902179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Napa,28721,5934,7364,7092,8331,22529.0,7946.0,29962,403.0,3281,4599,4045,11802,5832,0.942444626743,21773429.0,726.701455177,2.0,2.0,0.0,1023426.18707,511713.093536,0.0,0.0
Hercules,8766,1772,2146,2140,2708,7286.0,1673.0,5073,5.0,1541,485,802,1203,1037,0.978457417122,3009841.0,593.305933373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newark,13609,3475,3758,3346,3030,10159.0,2731.0,18106,28.0,4318,3682,2950,3825,3303,1.05577967417,17983227.0,993.219209102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alameda County,54451,15346,15395,12369,11341,38440.0,16087.0,28087,98.0,2683,2682,5313,10200,7111,0.998606195096,18959482.1169,675.026956133,30.0,30.0,0.0,11268705.9559,375623.531864,0.0,0.0
