zone_id,SD,ZONE,COUNTY,AGREMPN,FPSEMPN,HEREMPN,RETEMPN,TOTEMP,MWTEMPN,OTHEMPN,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,SHPOP62P,TOTHH,GQPOP,MFDU,SFDU,CIACRE_UNWEIGHTED,RESACRE_UNWEIGHTED,CIACRE,RESACRE,TOTACRE,HHPOP,TOTPOP,EMPRES,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P
1,1,1,1,12.0,16256.0,1815.0,249.0,21415,809.0,2274.0,22.0,9.0,10.0,11.0,0.238,52.0,8,60.0,1.0,9.14991145662,2.54006108887,15.0,1.0,20.3,84,92,35,4.0,7.0,34.0,31.0,16.0
2,1,2,1,60.0,24563.0,3664.0,519.0,32451,845.0,2800.0,70.0,31.0,15.0,18.0,0.238,134.0,25,147.0,5.0,15.0639055692,3.84589397024,24.0,1.0,31.1,214,239,93,8.0,19.0,90.0,80.0,42.0
3,1,3,1,1.0,779.0,1019.0,118.0,2134,40.0,177.0,118.0,75.0,29.0,31.0,0.238,253.0,46,285.0,9.0,7.30323636572,1.79219463656,2.0,1.0,14.7,405,451,178,15.0,36.0,168.0,151.0,81.0
4,1,4,1,117.0,11500.0,3634.0,461.0,19354,1527.0,2115.0,59.0,58.0,33.0,22.0,0.238,172.0,13,210.0,6.0,9.09633124488,2.92244595288,18.0,1.0,19.3,272,285,116,9.0,23.0,107.0,95.0,51.0
5,1,5,1,5.0,4152.0,5761.0,2416.0,14062,462.0,1266.0,249.0,185.0,89.0,66.0,0.238,589.0,90,671.0,22.0,21.2856709717,10.921042807,15.0,1.00000000002,52.7,939,1029,412,35.0,83.0,383.0,345.0,183.0
6,1,6,1,1.0,595.0,2120.0,166.0,3597,40.0,675.0,873.0,781.0,336.0,200.0,0.142,2190.0,616,2406.0,0.0,7.529699093,12.5485206927,8.0,7.0,29.0,3238,3854,1779,74.0,219.0,2257.0,914.0,390.0
7,1,7,1,1.0,5410.0,4794.0,274.0,11120,114.0,527.0,1751.0,1014.0,484.0,339.0,0.191,3588.0,445,4174.0,0.0,13.7993203722,15.7452664395,14.0,13.0,45.0,5304,5749,2871,165.0,404.0,2575.0,1815.0,790.0
8,1,8,1,6.0,1256.0,1736.0,389.0,4079,72.0,620.0,2865.0,892.0,383.0,239.0,0.25,4379.0,2214,4898.0,19.0,10.9422549574,17.1827909317,15.0,8.3304220082,51.0,7230,9444,3015,372.0,836.0,3030.0,3445.0,1761.0
9,1,9,1,7.0,3918.0,8825.0,271.0,25795,388.0,12386.0,2571.0,1331.0,618.0,328.0,0.163,4848.0,640,5504.0,35.0,41.7116556156,22.4281690683,47.0,9.27506988543,112.0,8301,8941,3713,366.0,908.0,4283.0,2331.0,1053.0
10,1,10,1,4.0,1743.0,2890.0,180.0,9594,283.0,4494.0,2175.0,493.0,299.0,210.0,0.148,3177.0,97,3578.0,5.0,25.18212225,18.5041859197,35.0,9.34243786751,73.5,5473,5570,2734,160.0,491.0,2430.0,1956.0,533.0
