superdistrict,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
33,46311,8550,11355,10877,15529,31983.0,15126.0,60843,404,3759,6232,13983,21595,14870,0.983060561676,31212128.0,512.994559769,118,118.0,0.0,75496212.0569,639798.407262,0.0,0.0
9,185601,75884,31963,35222,42532,45117.0,146013.0,462250,770,108173,20205,165824,93370,73908,0.971072045205,219675237.314,475.230367363,6232,6232.0,0.0,2521751345.41,404645.594577,0.0,0.0
17,138784,38746,39601,31269,29168,87291.0,49805.0,172308,154,39528,18075,25305,47213,42033,1.01231254012,117184633.628,680.088177151,642,642.0,0.0,376795771.455,586909.301332,0.0,0.0
16,124314,34999,29707,28047,31561,79219.0,41228.0,156633,235,43916,18618,26553,36939,30372,1.03210540736,111917702.933,714.521862779,1474,1474.0,0.0,1692447020.5,1148200.14959,0.0,0.0
15,86907,21887,17142,19603,28275,60860.0,24716.0,153518,654,17404,20580,44686,35037,35157,1.01555342619,89117886.0,580.504475045,1143,1143.0,0.0,1429090581.76,1250297.9718,0.0,0.0
18,249046,90815,62063,48555,47613,97040.0,151123.0,270632,262,22212,15592,58880,101102,72584,1.00355814525,132828434.454,490.808309639,4110,4110.0,0.0,1706833945.81,415288.064674,0.0,0.0
24,115015,36194,23005,23291,32525,90706.0,28983.0,55387,330,4250,12003,7600,17812,13392,0.960948792287,35307916.6997,637.476604613,1430,1430.0,0.0,956092395.286,668596.08062,0.0,0.0
34,43404,9436,10817,9683,13468,27415.0,16344.0,44765,191,1853,5336,10410,17512,9463,0.991887383167,20741543.4558,463.342867325,0,0.0,0.0,0.0,0.0,0.0,0.0
30,106708,26211,22017,24186,34294,74594.0,38294.0,117875,1596,13522,14558,17686,42667,27846,0.945255474453,63006393.6876,534.518716332,1006,1006.0,0.0,376529400.282,374283.698093,0.0,0.0
32,24280,4441,6055,5804,7980,18079.0,6581.0,28862,95,1653,2804,9005,9297,6008,0.984590429846,13771014.0,477.133046913,0,0.0,0.0,0.0,0.0,0.0,0.0
27,37136,7212,8502,8729,12693,28725.0,10080.0,48470,849,8745,8215,5266,15323,10072,0.956990078598,35221543.0,726.666866103,115,115.0,0.0,114315201.254,994045.228294,0.0,0.0
10,132293,24997,28506,33191,45599,87416.0,47972.0,164971,285,15643,20885,41828,56281,30049,0.977139776051,71708029.4933,434.670514777,765,765.0,0.0,291862668.465,381519.828059,0.0,0.0
1,110789,32302,25800,22259,30428,1728.0,111972.0,481576,390,13017,14631,258754,118778,76006,0.974397537379,217578507.854,451.805131181,700,700.0,0.0,440521822.517,629316.889311,0.0,0.0
3,169300,53916,39064,33413,42907,59601.0,113531.0,221763,118,11661,9700,62713,92938,44633,0.977866598896,106670024.632,481.009116184,2193,2193.0,0.0,1292830368.38,589525.931776,0.0,0.0
6,95435,20558,22825,22349,29703,56404.0,40482.0,125740,655,9226,10404,44942,39867,20646,0.985023636026,62626213.1168,498.061182732,511,511.0,0.0,390766000.975,764708.416781,0.0,0.0
31,37646,5890,8170,9281,14305,34131.0,6715.0,31972,2608,4751,3671,3743,9072,8127,0.921656955393,17936129.7475,560.99492517,71,71.0,0.0,31284632.6242,440628.62851,0.0,0.0
7,93956,21792,21728,21904,28532,59596.0,35501.0,175948,1579,22375,9213,62832,47215,32734,0.988001724555,81124177.6469,461.069052487,667,667.0,0.0,572076198.097,857685.454418,0.0,0.0
19,89117,26748,24245,18677,19447,36767.0,50179.0,176283,74,10198,9806,47841,75356,33008,1.02496952131,78193532.2019,443.568195469,767,767.0,0.0,406916303.645,530529.730958,0.0,0.0
29,76166,17791,17287,17170,23918,54102.0,25485.0,74673,2113,9458,10168,12622,23545,16767,0.957015592999,43191432.2129,578.407620062,753,753.0,0.0,338117017.386,449026.583513,0.0,0.0
12,131174,33515,28046,31371,38242,87837.0,47085.0,118372,272,23667,13167,19700,32594,28972,0.972220986941,70187839.3595,592.942920281,1274,1274.0,0.0,376596794.219,295601.879293,0.0,0.0
23,56916,8431,10751,13454,24280,49539.0,8626.0,67660,304,4218,5935,21511,18018,17674,0.978526605347,34183880.0,505.230268992,311,311.0,0.0,320285882.523,1029858.14316,0.0,0.0
22,66917,12905,15396,15503,23113,43909.0,24587.0,81062,90,4487,7460,23294,31480,14251,0.976947558982,36522081.0,450.545027263,424,424.0,0.0,389460422.533,918538.73239,0.0,0.0
2,115860,31207,32282,24190,28181,16751.0,99817.0,102125,111,2623,6426,19600,46453,26912,0.99392629195,51226184.3494,501.602784327,452,452.0,0.0,282204988.861,624347.320488,0.0,0.0
5,118137,31355,29089,26014,31679,72646.0,48088.0,151961,320,25280,15939,38391,45120,26911,0.978489903424,89512453.5255,589.048858099,840,840.0,0.0,605794915.097,721184.422734,0.0,0.0
14,41544,9502,6902,9587,15553,31769.0,12138.0,46841,2800,9140,8352,6292,10993,9264,0.946181702234,29760273.0,635.346662112,406,406.0,0.0,185614391.026,457178.303019,0.0,0.0
8,84541,19476,18676,19899,26490,44332.0,41458.0,183366,167,14055,9814,53664,81914,23752,0.985441193612,78773439.4293,429.596759646,521,521.0,0.0,337026588.775,646884.047552,0.0,0.0
13,86853,19495,16944,21389,29025,60334.0,28440.0,65918,324,8542,11423,11513,21132,12984,0.97836078131,33536286.0311,508.75763875,916,916.0,0.0,264785091.853,289066.694163,0.0,0.0
11,146380,47592,27721,31947,39120,58953.0,92178.0,170766,342,18403,15886,37169,49854,49112,0.968563696396,79842144.9431,467.552937605,3449,3449.0,0.0,692205845.732,200697.548777,0.0,0.0
20,115897,41081,30011,22758,22047,71379.0,47912.0,92429,248,11911,11068,18267,29312,21623,0.971548566111,50761522.6492,549.194761917,1692,1692.0,0.0,1242787603.63,734508.039971,0.0,0.0
28,16927,2318,3355,3926,7328,15099.0,2946.0,21879,3927,4585,1951,1979,5261,4176,0.93804377944,14330729.0,654.999268705,0,0.0,0.0,0.0,0.0,0.0,0.0
21,107350,29274,26129,24238,27709,76661.0,35994.0,147188,216,11669,19331,29348,50347,36277,0.95290932493,73401020.9611,498.688894211,846,846.0,0.0,482489254.29,570318.267483,0.0,0.0
4,59909,16515,16385,12725,14284,34746.0,26368.0,30951,14,941,3586,5254,14045,7111,0.98028275027,16049417.3558,518.542772634,229,229.0,0.0,308789499.093,1348425.76023,0.0,0.0
26,104095,26298,22437,23297,32063,83401.0,18919.0,90153,1851,12368,16804,9611,27881,21638,1.01734753714,54340902.4341,602.763107541,349,349.0,0.0,190269177.847,545183.89068,0.0,0.0
25,56869,13459,15313,13327,14770,37948.0,17724.0,50869,150,6649,7057,9407,15767,11839,1.02150093404,27969906.0,549.841868328,254,254.0,0.0,231057387.237,909674.7529,0.0,0.0
