superdistrict,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
33,44323,8595,11014,10424,14290,31095,14583,53408,404,3560,6283,11847,17774,13540,0.970335829064,31355073.0,587.085698772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,128144,46483,26385,26700,28576,44564,89332,374023,731,115076,17682,115711,62682,62141,0.957041285774,219025913.6,585.594772514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,131269,39983,38234,29204,23848,85466,45046,141563,142,37179,15443,19720,35895,33184,1.00580023293,117612358.2,830.812840926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,110547,26600,27520,26938,29489,73527,32774,130778,232,38329,15188,24212,30002,22815,1.03994318021,112518275.0,860.376171833,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,75458,15767,16590,18443,24658,55656,18766,130021,613,16821,20200,34480,25875,32032,1.01392061487,85638137.0,658.648502934,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,208611,81412,55612,38247,33340,96100,113516,229245,287,22502,14337,44598,78165,69356,0.995205518663,135238016.4,589.927878034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,90896,20169,23912,23109,23706,81095,16657,47208,338,3666,9345,7846,15498,10515,0.929863327605,34948584.0,740.310625318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,41423,7369,9423,8989,15642,27366,14396,39713,189,1787,5405,9122,15508,7702,0.991882572674,20743667.0,522.33946063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,90505,21425,24071,22402,22607,72517,26857,104235,1633,14624,13092,16787,34146,23953,0.910751303158,64976277.0,623.363332854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,23465,4418,5908,5664,7475,17535,6579,25442,87,1491,2858,8937,7022,5047,0.973086174007,13845919.0,544.215038126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
