zone_id,SD,ZONE,COUNTY,AGREMPN,FPSEMPN,HEREMPN,RETEMPN,TOTEMP,MWTEMPN,OTHEMPN,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,SHPOP62P,TOTHH,GQPOP,MFDU,SFDU,CIACRE_UNWEIGHTED,RESACRE_UNWEIGHTED,CIACRE,RESACRE,TOTACRE,HHPOP,TOTPOP,EMPRES,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P
1,1,1,1,14.0,19807.0,3555.0,193.0,26124,568.0,1987.0,9.0,12.0,8.0,27.0,0.238,56.0,10,60.0,1.0,9.14991145662,2.54006108887,15.0,1.0,20.3,92,102,35,3.0,7.0,34.0,31.0,27.0
2,1,2,1,59.0,30310.0,7007.0,395.0,41013,621.0,2621.0,26.0,41.0,30.0,50.0,0.238,147.0,31,147.0,5.0,15.8568784685,3.84589397024,24.7929728993,1.0,31.1,237,268,102,8.0,18.0,88.0,82.0,72.0
3,1,3,1,1.0,1478.0,1120.0,84.0,2930,33.0,214.0,73.0,86.0,54.0,73.0,0.238,286.0,57,285.0,9.0,7.62122695076,1.79219463656,2.31799058504,1.0,14.7,462,519,205,15.0,36.0,170.0,159.0,139.0
4,1,4,1,113.0,17692.0,5899.0,363.0,27069,1074.0,1928.0,70.0,53.0,56.0,64.0,0.238,243.0,16,253.0,6.0,8.94072969305,3.07804750471,18.0,1.15560155183,19.3,388,404,162,11.0,28.0,133.0,123.0,109.0
5,1,5,1,5.0,7417.0,6385.0,1687.0,17562,391.0,1677.0,154.0,176.0,157.0,187.0,0.238,674.0,113,674.0,22.0,21.273044468,10.9336693107,15.0,1.01262650367,52.7,1086,1199,473,35.0,83.0,391.0,368.0,322.0
6,1,6,1,1.0,1116.0,1984.0,141.0,3957,47.0,668.0,556.0,726.0,490.0,618.0,0.142,2390.0,771,2454.0,0.0,7.30467934345,12.7735404422,8.0,7.22501974951,29.0,3573,4344,1973,75.0,224.0,2351.0,994.0,700.0
7,1,7,1,1.0,4629.0,4108.0,285.0,10127,112.0,992.0,945.0,1116.0,941.0,1111.0,0.191,4113.0,557,4239.0,0.0,13.7314336194,15.8131531922,14.0,13.0678867527,45.0,6149,6706,3341,168.0,417.0,2703.0,1988.0,1430.0
8,1,8,1,6.0,1325.0,1612.0,315.0,4061,71.0,732.0,2614.0,855.0,680.0,706.0,0.25,4855.0,2772,4923.0,19.0,10.8248376722,17.300208217,15.0,8.44783929346,51.0,8106,10878,3615,361.0,824.0,3039.0,3607.0,3047.0
9,1,9,1,8.0,7235.0,9974.0,298.0,31929,528.0,13886.0,1668.0,1573.0,1285.0,1567.0,0.163,6093.0,802,6237.0,35.0,40.7424233711,23.8445190973,47.0,10.6914199144,112.0,10550,11352,4618,411.0,1036.0,4972.0,2825.0,2108.0
10,1,10,1,3.0,3279.0,3669.0,186.0,12983,327.0,5519.0,2073.0,1275.0,1122.0,1251.0,0.148,5721.0,122,5825.0,5.0,24.0193074319,20.230506885,35.0,11.0687588328,73.5,9966,10088,5015,258.0,808.0,4066.0,3418.0,1538.0
11,1,11,1,1.0,3911.0,3698.0,1710.0,11787,277.0,2190.0,2200.0,655.0,526.0,638.0,0.148,4019.0,196,4097.0,10.0,27.3807539643,20.1114490179,38.0,17.8463326256,81.0,7000,7196,3588,184.0,576.0,2900.0,2438.0,1098.0
12,1,12,1,19.0,7845.0,5223.0,473.0,16982,290.0,3132.0,310.0,251.0,238.0,272.0,0.09,1071.0,12,1108.0,0.0,28.4463921744,8.00188403971,16.0,1.41117835123,53.3,1635,1647,1094,12.0,19.0,931.0,559.0,126.0
13,1,13,1,6.0,17314.0,4383.0,591.0,23771,226.0,1251.0,0.0,0.0,3.0,3.0,0.09,6.0,12,8.0,0.0,12.7835204946,2.15097801455,19.3762501755,1.0,26.5,9,21,7,0.0,0.0,12.0,7.0,2.0
