juris,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
Livermore,27603,5442,6672,7790,7699,23841,5346.0,40703,273.0,6347,4234,11595,8274,9980,0.945729263028,32439727.0,796.986143528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hayward,44561,12864,14457,10635,6605,27850,16963.0,62020,55.0,16870,6094,9393,14329,15279,0.994376631781,59715355.0,962.840293454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonoma County,56493,14495,16781,13705,11512,56576,10842.0,49902,4646.0,9592,4522,7360,13128,10654,0.837951288973,31800843.0,637.265901166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fremont,69993,14027,17058,18572,20336,48331,21454.0,85179,167.0,24418,7414,19111,19586,14483,1.00298058322,70947530.0,832.922786133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pleasanton,23961,3338,5102,6055,9466,18119,6461.0,59250,206.0,7346,11176,16573,9877,14072,0.974816924329,35006984.0,590.835172996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dublin,15584,3342,3089,3939,5214,11805,2859.0,18638,71.0,2121,3161,4036,3907,5342,1.06273867976,13005076.0,697.772078549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contra Costa County,56930,12960,14146,13376,16448,49873,11793.0,34710,210.0,4613,3810,9198,9109,7770,0.923199169721,22982450.0,662.127628925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brentwood,15890,3256,4237,4480,3917,16767,1284.0,10208,152.0,478,1619,2441,3151,2367,0.880283640796,6901211.0,676.059071317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Ramon,24913,3440,4250,5710,11513,20605,5934.0,47120,438.0,3593,4041,11245,10146,17657,0.938731677908,26472299.0,561.806005942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oakley,10058,2091,2913,3121,1933,10891,516.0,3118,24.0,168,708,737,911,570,0.881739282896,2068713.0,663.474342527,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antioch,31039,7277,8811,8471,6480,28560,6188.0,19078,37.0,1158,4267,3441,6829,3346,0.893260043744,13920098.0,729.64136702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Napa County,10284,1983,2678,2390,3233,11416,1057.0,19452,3235.0,6262,1166,1817,3750,3222,0.824500921992,15119214.0,777.257557064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Francisco,360314,112108,95511,71685,81010,113027,271115.0,613787,636.0,34209,41690,202493,198477,136282,0.937970854528,374174532.0,609.616254499,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Mateo County,21408,3226,4514,4915,8753,20204,2506.0,21262,486.0,4281,1024,5643,5099,4729,0.942668428005,13211011.0,621.343758819,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petaluma,21029,4847,5696,5551,4935,18315,4660.0,28051,395.0,5832,3741,5910,6865,5308,0.915299238303,20516335.0,731.394067948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Rosa,59730,16690,18434,14196,10410,47263,20678.0,72301,566.0,9705,8580,12389,24999,16062,0.879145140637,45508727.0,629.434267852,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rohnert Park,14149,3538,4349,3692,2570,9617,6248.0,11906,93.0,1611,1885,2628,3203,2486,0.891837377876,9010943.0,756.840500588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marin County,28347,5617,6542,5926,10262,23832,6534.0,17775,344.0,670,1530,3472,6935,4824,0.933511163802,8869061.0,498.962644163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richmond,36447,13085,11819,7344,4199,24617,14728.0,30573,178.0,6765,3929,5024,6781,7896,0.926343881052,25115582.0,821.495502568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pittsburg,19294,6098,5798,4678,2720,15512,5745.0,10966,21.0,1397,1727,1322,3782,2717,0.907653949287,9356357.0,853.21511946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orinda,6622,856,1032,1211,3523,6496,374.0,4951,21.0,180,410,1980,1669,691,0.963901018923,1740740.0,351.593617451,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alameda,30029,8786,9123,6505,5615,15115,15766.0,27408,12.0,3249,1770,4888,7209,10280,0.972410219876,15629878.0,570.267002335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Napa,26825,7498,8014,6296,5017,22499,7925.0,31587,410.0,3932,3627,4909,12470,6239,0.881705232711,21705413.0,687.162851806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hercules,8089,1528,2131,2342,2088,7286,1539.0,4758,4.0,1785,385,759,1055,770,0.916600566572,3036111.0,638.106557377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newark,12769,2867,3526,3455,2921,9915,2731.0,16612,26.0,4105,3245,3330,3415,2491,1.0097263957,18038751.0,1085.8867686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alameda County,50818,15218,14661,11687,9252,38429,14780.0,26969,97.0,2747,1947,5746,9823,6609,0.955063992934,18618833.0,690.379064852,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martinez,13738,3162,3855,3529,3192,11507,3534.0,20306,20.0,2855,1237,2421,3243,10530,0.913370121667,11476572.0,565.181325717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danville,14955,1571,2370,3212,7802,15109,848.0,12094,41.0,844,1489,4045,3636,2039,0.937206241775,5859351.0,484.484124359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Healdsburg,4154,1185,1316,961,692,3818,1112.0,8493,187.0,1760,966,962,2070,2548,0.842596348884,5585315.0,657.637466149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Concord,43234,11413,13036,10675,8110,30695,16850.0,53357,121.0,6149,7096,12335,16765,10891,0.909328005048,34478556.0,646.186179883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunnyvale,55242,16267,12942,12760,13273,26508,33206.0,64837,101.0,21484,5753,14881,12035,10583,0.92510968952,49530569.0,763.924441291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clayton,3701,522,753,973,1453,4054,17.0,2013,6.0,67,142,396,1041,361,0.90911323999,870340.0,432.359662196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daly City,30254,6425,8173,8297,7359,21237,11263.0,17856,32.0,1295,3263,3340,7517,2409,0.930892307692,10764572.0,602.854614695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rio Vista,3371,1032,1196,680,463,3198,94.0,2352,415.0,433,260,188,441,615,1.02399756987,1290835.0,548.824404762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oakland,158088,62565,46228,27556,21739,84635,78613.0,184104,286.0,21746,11078,33324,60237,57433,0.968391649515,123379943.0,670.164379916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lafayette,9150,1390,1800,2016,3944,8013,1712.0,9315,21.0,1004,807,2744,3266,1473,0.94087403599,4739959.0,508.852281267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Pablo,8782,3450,2863,1655,814,4733,4786.0,7047,19.0,481,795,854,3698,1200,0.92257590083,4715882.0,669.204200369,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walnut Creek,30042,6991,8045,7020,7986,16976,16036.0,46885,43.0,2820,5354,15332,16718,6618,0.910032715376,24816965.0,529.315665991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pleasant Hill,13071,2810,3491,3421,3349,10257,3885.0,15674,22.0,556,1642,3753,6834,2867,0.924268137463,9137959.0,583.001084599,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Union City,20335,4493,5046,5600,5196,15010,5191.0,20469,32.0,7686,2462,2480,4992,2817,1.00663333498,22255722.0,1087.28916899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brisbane,1792,439,524,373,456,1396,518.0,5129,4.0,2586,227,710,447,1155,0.936259143156,5533113.0,1078.78982258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloverdale,2951,1043,857,635,416,2769,760.0,1711,56.0,405,163,203,399,485,0.836214224993,911163.0,532.532437171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Leandro,30071,9161,9831,6867,4212,21305,9984.0,48389,42.0,18967,6357,5392,8774,8857,0.961072581418,44460119.0,918.806319618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinole,6442,1420,1958,1781,1283,5777,1136.0,6725,13.0,1085,1422,1145,2173,887,0.931867496022,4221108.0,627.674052045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
