pda,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sfo1,23515.0,14039.0,4178.0,2980.0,2318.0,7366.0,17163.0,37209.0,27.0,5010.0,1738.0,11693.0,8569.0,10172.0,0.958661176567,23629226.0,635.040608455,145.0,145.0,0.0,65650746.816,452763.771145,0.0,0.0
fre2,8978.0,3502.0,1804.0,1838.0,1834.0,1300.0,7245.0,17276.0,19.0,367.0,1448.0,4543.0,6944.0,3955.0,1.05067290813,7582838.0,438.923246122,1.0,1.0,0.0,747687.531286,747687.531286,0.0,0.0
liv1,653.0,206.0,152.0,148.0,147.0,131.0,374.0,4368.0,6.0,154.0,605.0,1078.0,1656.0,869.0,1.29306930693,2269660.0,519.610805861,6.0,6.0,0.0,1995057.97017,332509.661696,0.0,0.0
her2,785.0,174.0,170.0,180.0,261.0,663.0,134.0,27.0,0.0,13.0,1.0,3.0,3.0,7.0,0.984943538269,18615.0,689.444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fre1,9493.0,2412.0,2584.0,2201.0,2296.0,3924.0,4524.0,4927.0,12.0,531.0,769.0,936.0,1676.0,1003.0,1.12369791667,3445880.03446,699.387057938,15.0,15.0,0.0,10624443.0308,708296.202057,0.0,0.0
fre4,2049.0,563.0,454.0,470.0,562.0,1288.0,521.0,13100.0,34.0,5711.0,1195.0,2399.0,1439.0,2322.0,1.13266998342,12326881.6138,940.983329297,6.0,6.0,0.0,9070844.11411,1511807.35235,0.0,0.0
ple1,3007.0,1400.0,491.0,487.0,629.0,129.0,3072.0,17009.0,48.0,2220.0,2082.0,5290.0,3250.0,4119.0,0.939393939394,8332152.0,489.867246752,6.0,6.0,0.0,4753396.07844,792232.67974,0.0,0.0
her1,89.0,20.0,24.0,23.0,22.0,2.0,88.0,1209.0,1.0,136.0,216.0,220.0,325.0,311.0,0.988888888889,535491.0,442.920595533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pit1,4542.0,2302.0,922.0,737.0,581.0,2331.0,2302.0,3909.0,1.0,416.0,511.0,392.0,1254.0,1335.0,0.980358299158,2967144.68442,759.054664727,86.0,86.0,0.0,24595849.564,285998.250744,0.0,0.0
fre3,7758.0,1876.0,2032.0,1929.0,1921.0,2825.0,4511.0,5185.0,16.0,815.0,618.0,1024.0,1460.0,1252.0,1.05752453653,3421924.44563,659.966141877,1.0,1.0,0.0,691489.690187,691489.690187,0.0,0.0
sfo9_a,4282.0,3294.0,431.0,335.0,222.0,0.0,4562.0,5795.0,3.0,560.0,85.0,2679.0,1746.0,722.0,0.0,6246849.0,1077.97221743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ric2,4551.0,1989.0,929.0,795.0,838.0,1699.0,2931.0,11500.0,6.0,1920.0,626.0,3858.0,2617.0,2473.0,0.982937365011,7159654.03349,622.578611608,105.0,105.0,0.0,53514484.6978,509661.759027,0.0,0.0
sfo10,13579.0,7401.0,2141.0,1848.0,2189.0,4289.0,9836.0,7972.0,4.0,145.0,1326.0,1089.0,3808.0,1600.0,0.961345132743,4387521.3558,550.366452057,1.0,1.0,0.0,730798.312261,730798.312261,0.0,0.0
ccc1,575.0,173.0,129.0,125.0,148.0,67.0,533.0,5352.0,11.0,244.0,490.0,1656.0,1684.0,1267.0,0.958333333333,2916336.0,544.905829596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spa1,1762.0,616.0,532.0,358.0,256.0,145.0,1647.0,4955.0,1.0,260.0,618.0,484.0,2644.0,948.0,0.983258928571,2606582.6237,526.050983593,6.0,6.0,0.0,1860164.71615,310027.452691,0.0,0.0
wal1,7438.0,2717.0,1700.0,1497.0,1524.0,670.0,7073.0,29008.0,23.0,1654.0,3255.0,9501.0,9944.0,4631.0,0.960609582849,12924379.0,445.545332322,85.0,85.0,0.0,30781670.1205,362137.295536,0.0,0.0
pit2,2164.0,790.0,524.0,443.0,407.0,1249.0,1022.0,695.0,1.0,102.0,62.0,84.0,200.0,246.0,0.952884191986,515107.250109,741.161510948,9.0,9.0,0.0,2802401.48433,311377.942703,0.0,0.0
sfo9_b,4285.0,1978.0,968.0,717.0,622.0,2119.0,2389.0,3656.0,2.0,176.0,503.0,536.0,1273.0,1166.0,0.950532386868,2244790.0,614.001641138,3.0,3.0,0.0,1495319.03194,498439.677313,0.0,0.0
sjo7,11361.0,4555.0,2225.0,2239.0,2342.0,3125.0,8598.0,10702.0,22.0,835.0,1961.0,1971.0,3886.0,2027.0,0.969120532287,6365941.50432,594.836619727,207.0,207.0,0.0,32648847.8508,157723.902661,0.0,0.0
ccc2,1760.0,1076.0,322.0,193.0,169.0,797.0,984.0,1880.0,20.0,556.0,281.0,259.0,196.0,568.0,0.988208871421,1742140.0,926.670212766,61.0,61.0,0.0,23751015.0797,389360.902946,0.0,0.0
pal1,731.0,219.0,156.0,148.0,208.0,51.0,658.0,4515.0,1.0,295.0,262.0,1352.0,1638.0,967.0,1.03102961918,1896562.0,420.058028793,6.0,6.0,0.0,2441647.39304,406941.232174,0.0,0.0
sfo12,27950.0,6210.0,7545.0,6274.0,7921.0,12842.0,15575.0,14045.0,5.0,547.0,1658.0,2098.0,5788.0,3949.0,0.983566175177,8725058.05839,621.221648871,1.0,1.0,0.0,791639.208868,791639.208868,0.0,0.0
hay1,588.0,235.0,147.0,103.0,103.0,276.0,204.0,392.0,0.0,26.0,38.0,48.0,89.0,191.0,1.225,338300.0,863.010204082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sjo8,8054.0,4572.0,1253.0,1204.0,1025.0,2457.0,5710.0,3407.0,0.0,414.0,433.0,413.0,1243.0,904.0,0.986163830048,2443178.68774,717.105573156,309.0,309.0,0.0,44763308.6592,144865.076567,0.0,0.0
wcc1_g,199.0,38.0,54.0,51.0,56.0,68.0,132.0,49.0,0.0,19.0,10.0,8.0,6.0,6.0,0.995,30875.0,630.102040816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oak1,438.0,184.0,73.0,88.0,93.0,165.0,289.0,749.0,6.0,52.0,233.0,123.0,196.0,139.0,0.964757709251,678547.0,905.937249666,9.0,9.0,0.0,4926696.51516,547410.723907,0.0,0.0
sar2,391.0,233.0,37.0,50.0,71.0,0.0,401.0,12150.0,15.0,809.0,576.0,3932.0,2047.0,4771.0,0.0,6270303.0,516.074320988,11.0,11.0,0.0,9659094.91898,878099.538089,0.0,0.0
okd1,45546.0,15600.0,13417.0,9128.0,7401.0,20554.0,25085.0,15847.0,84.0,1455.0,1554.0,2464.0,6298.0,3992.0,0.997962269112,10999030.6514,694.07652246,111.0,111.0,0.0,44633770.8471,402106.043667,0.0,0.0
sfo3,101089.0,33447.0,24643.0,19387.0,23612.0,2438.0,100744.0,314869.0,270.0,9733.0,12332.0,143565.0,95043.0,53926.0,0.979715454246,160361270.842,509.29520163,221.0,221.0,0.0,139638319.191,631847.59815,0.0,0.0
clo1,905.0,280.0,223.0,194.0,208.0,645.0,355.0,554.0,18.0,137.0,57.0,65.0,143.0,134.0,0.905,224905.0,405.965703971,7.0,7.0,0.0,2978702.38435,425528.91205,0.0,0.0
sfo8,8116.0,6118.0,988.0,652.0,358.0,144.0,8522.0,292.0,0.0,19.0,6.0,26.0,72.0,169.0,0.936533579506,351200.0,1202.73972603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dan1,1462.0,255.0,295.0,356.0,556.0,713.0,752.0,7062.0,19.0,336.0,951.0,2185.0,2165.0,1406.0,0.99795221843,3032019.0,429.342820731,4.0,4.0,0.0,1297804.58661,324451.146652,0.0,0.0
aca1,419.0,67.0,116.0,114.0,122.0,178.0,185.0,1377.0,46.0,184.0,445.0,117.0,329.0,256.0,1.15426997245,925194.0,671.891067538,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fai2,663.0,483.0,70.0,56.0,54.0,500.0,1.0,96.0,0.0,35.0,6.0,12.0,20.0,23.0,1.32335329341,138149.0,1439.05208333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sro3,2674.0,786.0,654.0,603.0,631.0,2017.0,849.0,2701.0,21.0,729.0,386.0,442.0,552.0,571.0,0.933007676204,2142800.02045,793.335809125,7.0,7.0,0.0,1844091.4619,263441.637414,0.0,0.0
con2,5716.0,3003.0,1106.0,866.0,741.0,323.0,5569.0,12427.0,7.0,747.0,1174.0,3568.0,3786.0,3145.0,0.970128988459,5633113.0,453.296290336,211.0,211.0,0.0,37687982.5078,178616.030843,0.0,0.0
okd8,9476.0,3129.0,2719.0,1885.0,1743.0,4573.0,4518.0,8389.0,9.0,2162.0,721.0,931.0,2826.0,1740.0,1.0423495765,4830174.92788,575.774815577,25.0,25.0,0.0,14972076.26,598883.050399,0.0,0.0
okd7,14714.0,8635.0,2860.0,1894.0,1325.0,3885.0,10557.0,12556.0,5.0,2250.0,968.0,1805.0,3131.0,4397.0,1.01883395652,9852612.75993,784.693593496,177.0,177.0,0.0,68738001.4094,388350.290449,0.0,0.0
pin1,488.0,249.0,97.0,88.0,54.0,282.0,209.0,3307.0,8.0,604.0,349.0,500.0,1145.0,701.0,0.993890020367,1880379.0,568.605684911,17.0,17.0,0.0,3375891.20098,198581.835352,0.0,0.0
sjo4,24515.0,10769.0,4464.0,4520.0,4762.0,5900.0,19444.0,27206.0,38.0,1878.0,1851.0,4842.0,6010.0,12587.0,0.967290088384,13022257.7666,478.653891296,520.0,520.0,0.0,79175287.7269,152260.168706,0.0,0.0
sfo6,1837.0,1038.0,331.0,197.0,271.0,87.0,1828.0,26244.0,14.0,1861.0,1073.0,9132.0,9058.0,5106.0,0.959268929504,14754865.0,562.218602347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scl2,291.0,113.0,57.0,51.0,70.0,51.0,244.0,4771.0,6.0,1492.0,225.0,1141.0,943.0,964.0,0.986440677966,2760733.0,578.648710962,4.0,4.0,0.0,591518.301677,147879.575419,0.0,0.0
sfo4,44174.0,14834.0,9514.0,8457.0,11369.0,4625.0,40706.0,95880.0,58.0,6001.0,6124.0,21387.0,35785.0,26525.0,0.974476627473,53822058.9785,561.348132859,215.0,215.0,0.0,134085213.22,623652.15451,0.0,0.0
sjo1,7084.0,3281.0,1071.0,1268.0,1464.0,467.0,6962.0,35223.0,41.0,1985.0,1660.0,12273.0,8875.0,10389.0,0.953560371517,14180731.0,402.598614542,121.0,121.0,0.0,21922543.8031,181178.04796,0.0,0.0
oak3,209.0,35.0,67.0,51.0,56.0,219.0,0.0,92.0,1.0,5.0,7.0,21.0,35.0,23.0,0.954337899543,84964.0,923.52173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plh2,904.0,231.0,279.0,189.0,205.0,127.0,764.0,6264.0,11.0,301.0,888.0,1679.0,2047.0,1338.0,1.01459034792,3528210.0,563.251915709,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vta1_c,1255.0,455.0,209.0,254.0,337.0,301.0,1035.0,2468.0,19.0,65.0,410.0,510.0,930.0,534.0,0.939371257485,1307646.0,529.840356564,15.0,15.0,0.0,364855.584575,24323.7056384,0.0,0.0
ben2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
okd1_b,7393.0,3190.0,2040.0,1310.0,853.0,4916.0,2626.0,2163.0,6.0,246.0,423.0,144.0,750.0,594.0,0.980243967117,1353678.7766,625.83392353,8.0,8.0,0.0,2355042.83681,294380.354602,0.0,0.0
sro2,5222.0,1856.0,1203.0,1087.0,1076.0,2290.0,3257.0,16097.0,52.0,1395.0,2396.0,2195.0,6272.0,3787.0,0.941409771047,9061160.0,562.90985898,65.0,65.0,0.0,17081483.519,262792.054138,0.0,0.0
okd1_a,8415.0,4165.0,1870.0,1341.0,1039.0,1173.0,7459.0,9463.0,4.0,1330.0,912.0,908.0,3933.0,2376.0,0.974860982391,8121869.23717,858.27636449,107.0,107.0,0.0,43333822.9941,404988.999945,0.0,0.0
mvw2,5459.0,1652.0,1210.0,1226.0,1371.0,1621.0,3935.0,7619.0,3.0,331.0,499.0,2204.0,2840.0,1742.0,0.982541396688,3324115.57368,436.292895876,32.0,32.0,0.0,13228127.477,413378.983656,0.0,0.0
sjo3,23281.0,10487.0,4057.0,4299.0,4438.0,2702.0,21847.0,118620.0,303.0,44058.0,2885.0,30903.0,17872.0,22599.0,0.948348201556,65258976.8373,550.1515498,302.0,302.0,0.0,69496206.3192,230119.888474,0.0,0.0
