superdistrict,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
33,47709,9395,11340,11122,15852,32877.0,15640.0,62023,399,3548,5838,15451,22711,14076,0.983346043655,31009828.0,499.973042259,225,225.0,0.0,154584832.013,687043.697834,0.0,0.0
9,197355,73163,35038,39820,49334,45620.0,159783.0,477004,765,103190,20806,178079,101550,72614,0.960818488532,219075354.523,459.273621444,7805,7805.0,0.0,3096381579.72,396717.691187,0.0,0.0
17,142801,40261,39620,31749,31171,89044.0,52064.0,186393,157,41096,18299,29032,54292,43517,1.01199790232,116813482.014,626.705305532,1054,1054.0,0.0,859358084.938,815330.251365,0.0,0.0
16,129245,35961,30075,29380,33829,81370.0,44593.0,170660,234,46451,19274,29071,42674,32956,1.0260552702,111119773.527,651.117857301,2031,2031.0,0.0,2311385457.78,1138052.9088,0.0,0.0
15,93595,26011,17566,20155,29863,62379.0,30017.0,155881,648,17057,20357,46741,36936,34142,1.01297675224,87759097.0,562.987772724,1876,1876.0,0.0,2273069076.55,1211657.29027,0.0,0.0
18,265125,95378,64410,51823,53514,97230.0,166791.0,283892,243,21459,16176,66272,106889,72853,1.00418148556,130648385.791,460.204534793,5826,5826.0,0.0,2551787564.2,437999.925197,0.0,0.0
24,124431,40872,23788,24346,35425,95896.0,34315.0,64312,332,4930,13329,8236,21485,16000,0.955610509097,34963870.9928,543.660141075,1850,1850.0,0.0,1407523061.64,760823.276562,0.0,0.0
34,43827,9545,11357,9902,13023,27432.0,16801.0,45889,189,1751,5000,11585,18230,9134,0.990821332489,20734868.4558,451.848339598,0,0.0,0.0,0.0,0.0,0.0,0.0
30,111234,26716,22012,25076,37430,76294.0,41275.0,127021,1581,13575,14538,19132,48753,29442,0.946116748463,62579673.164,492.671866574,1310,1310.0,0.0,520758655.585,397525.691286,0.0,0.0
32,24363,4304,6157,5927,7975,18180.0,6593.0,29660,97,1572,2606,9555,10091,5739,0.983449723489,13763334.0,464.036884693,0,0.0,0.0,0.0,0.0,0.0,0.0
