juris,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
Livermore,29729,5388,6697,7515,10129,23986.0,5810.0,46389,309.0,7810,5824,10948,10487,11011,0.997751376024,33285640.0,717.533035849,59.0,59.0,0.0,22421829.4566,380031.007738,0.0,0.0
Hayward,51329,15586,14245,11223,10275,29590.0,19886.0,84276,62.0,20350,8082,13644,22455,19683,1.03745250222,59254172.0566,703.096635538,404.0,404.0,0.0,279903687.343,692830.909265,0.0,0.0
Sonoma County,66199,11524,14942,15918,23815,57490.0,13023.0,57155,4462.0,8752,6045,7500,17141,13255,0.938819792095,31848448.0,557.229428746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fremont,85616,23991,19954,19320,22351,52447.0,30667.0,107476,172.0,30362,10799,20237,25858,20048,1.03010323171,71544681.9326,665.680542006,1051.0,1051.0,0.0,1270547536.85,1208893.94563,0.0,0.0
Pleasanton,30138,7216,5737,6848,10337,20365.0,9531.0,71338,210.0,6638,10416,21270,16250,16554,1.00809472839,36322483.0,509.160377358,395.0,395.0,0.0,467473752.041,1183477.85327,0.0,0.0
Dublin,22298,7970,3809,4168,6351,14061.0,7079.0,30705,83.0,2163,4062,10645,7338,6414,1.05477767266,15166847.0,493.953655756,636.0,636.0,0.0,853563216.517,1342080.52911,0.0,0.0
Contra Costa County,65002,15619,15517,14662,19204,53531.0,12921.0,38540,203.0,4258,4576,8653,10987,9863,0.978179738759,22685965.0,588.634276077,438.0,438.0,0.0,330170220.277,753813.288303,0.0,0.0
Brentwood,24190,8757,3443,4231,7759,22076.0,3122.0,10915,144.0,537,2284,1856,3447,2647,0.959996825145,6633766.0,607.766010078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Ramon,28337,4698,5161,6509,11969,22462.0,6597.0,46780,242.0,2925,3287,14999,11580,13747,0.975153997041,24578277.0,525.401389483,230.0,230.0,0.0,272610345.647,1185262.37238,0.0,0.0
Oakley,15707,5950,2755,2919,4083,11448.0,4999.0,3914,20.0,213,1187,569,1138,787,0.955006992157,3076622.70722,786.055878185,493.0,493.0,0.0,329670745.094,668703.336905,0.0,0.0
