superdistrict,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
33,45462,8253,11336,10878,14995,31171.0,15016.0,57980,407,3677,6415,13015,19988,14478,0.984302942386,31248713.0,538.956760952,33,33.0,0.0,13608193.6157,412369.503507,0.0,0.0
9,154417,55319,30068,32051,36979,44769.0,114764.0,439195,777,112165,19228,150575,85033,71417,0.967931399773,221572462.747,504.496778759,2769,2769.0,0.0,1061162195.31,383229.395202,0.0,0.0
17,134876,37458,39625,30698,27095,85659.0,47344.0,160408,153,38425,17333,23123,42532,38842,1.01408238912,117464195.702,732.283899194,214,214.0,0.0,106916731.916,499610.896801,0.0,0.0
16,120500,34112,28694,27372,30322,77741.0,37829.0,145821,235,42062,17417,25298,33691,27118,1.04265812927,112131044.661,768.963624312,983,983.0,0.0,1162704657.75,1182812.46973,0.0,0.0
15,84158,21628,16672,19048,26810,59335.0,22763.0,137697,645,17011,20645,35668,30013,33715,1.02509196326,89427652.0,649.45243542,804,804.0,0.0,1102920851.39,1371792.10372,0.0,0.0
18,239063,92410,59578,45009,42066,96805.0,141141.0,253783,270,22191,15199,53234,91741,71148,1.00469434241,134061410.454,528.252130576,3005,3005.0,0.0,1220060311.88,406010.087148,0.0,0.0
24,103991,28507,22934,22911,29639,84516.0,23504.0,50591,330,3944,10665,7515,16329,11808,0.962701351602,35465910.9473,701.032020465,784,784.0,0.0,490298359.694,625380.560834,0.0,0.0
34,41806,7818,10421,9527,14040,27374.0,14751.0,42869,192,1852,5429,9767,16647,8982,0.992427299703,20743667.0,483.885021811,0,0.0,0.0,0.0,0.0,0.0,0.0
30,101128,24172,22568,23501,30887,73401.0,33798.0,112597,1613,13829,14209,17329,39247,26370,0.943367009021,63958309.6044,568.028540764,562,562.0,0.0,178564171.038,317729.841705,0.0,0.0
32,23898,4201,6017,5803,7877,17708.0,6546.0,27627,93,1618,2853,8829,8445,5789,0.985322008741,13845919.0,501.173453506,0,0.0,0.0,0.0,0.0,0.0,0.0
27,35765,6667,8814,8750,11534,27921.0,9741.0,45068,860,8167,7244,5264,14339,9194,0.949630927726,35274943.0,782.704868199,13,13.0,0.0,5464851.24886,420373.17299,0.0,0.0
10,130925,26266,28196,32302,44161,87058.0,46918.0,155338,290,15885,20323,38805,51681,28354,0.977227264585,71869413.5871,462.664728444,640,640.0,0.0,257675855.544,402618.524288,0.0,0.0
1,109016,36414,25202,20778,26622,1728.0,110858.0,465683,393,14031,15467,241617,119907,74268,0.968290906507,217805205.854,467.71130974,576,576.0,0.0,364531237.899,632866.732464,0.0,0.0
3,156478,48343,37918,31574,38643,59583.0,101298.0,212512,117,12136,10132,56013,89273,44841,0.972631945351,107450535.972,505.62102833,794,794.0,0.0,506499831.44,637909.107607,0.0,0.0
6,92800,19485,22101,21789,29425,55502.0,38718.0,121317,662,9487,10824,42558,37799,19987,0.984928889832,62704044.1532,516.861150153,356,356.0,0.0,246335429.029,691953.452328,0.0,0.0
31,37277,6396,8499,9322,13060,34045.0,6560.0,30603,2622,4793,3465,3603,8459,7661,0.918039650289,17957029.2651,586.773494923,60,60.0,0.0,26194278.7475,436571.312458,0.0,0.0
7,91043,21250,20903,20906,27984,59347.0,32788.0,167996,1583,23215,9263,57519,44313,32103,0.988147826559,81293494.8426,483.901371715,368,368.0,0.0,362094059.521,983951.248698,0.0,0.0
19,86514,26911,23721,17738,18144,36750.0,47590.0,169354,76,10465,10021,45311,71571,31910,1.02577661845,78579584.622,463.996035653,503,503.0,0.0,257601618.626,512130.454525,0.0,0.0
29,73983,18131,17188,16870,21794,52252.0,24977.0,70776,2136,9622,9717,12190,21588,15523,0.957969156664,43368680.001,612.759692566,555,555.0,0.0,223055044.835,401900.981684,0.0,0.0
12,126012,32114,27633,30449,35816,87672.0,42063.0,110424,274,22934,12192,18646,29613,26765,0.971303040814,70318596.7863,636.805375519,725,725.0,0.0,218126608.102,300864.287037,0.0,0.0
23,56381,8514,10438,13033,24396,49060.0,8390.0,66876,304,4254,5974,20390,17617,18337,0.981392515231,34364060.0,513.847419104,249,249.0,0.0,259667580.424,1042841.68845,0.0,0.0
22,65434,12938,15331,15096,22069,43045.0,24007.0,79225,88,4570,7702,22852,30078,13935,0.975869474438,36726552.0,463.572761123,295,295.0,0.0,263301374.46,892547.032069,0.0,0.0
2,114235,30786,31598,23748,28103,16738.0,98241.0,100371,111,2739,6811,18018,45527,27165,0.993529253168,51519778.8291,513.293469519,257,257.0,0.0,161563501.465,628651.756675,0.0,0.0
5,111719,27795,28444,25267,30213,71903.0,42543.0,145739,321,26020,15954,35121,43053,25270,0.976172168534,88170399.7935,604.988368203,206,206.0,0.0,128747666.284,624988.671281,0.0,0.0
14,40845,10526,6826,9075,14418,31101.0,11777.0,44181,2808,8864,7710,6162,10172,8465,0.952586407948,29811603.0,674.760711618,330,330.0,0.0,148214577.104,449135.082132,0.0,0.0
8,82748,19662,18319,19131,25636,44193.0,39693.0,176704,166,14101,9837,50330,79189,23081,0.986433969912,78854554.7625,446.252234033,320,320.0,0.0,153600621.033,480001.940727,0.0,0.0
13,84776,20233,16661,20640,27242,58662.0,27934.0,60528,326,8164,10568,11063,18768,11639,0.97898286295,33411993.351,552.008877726,702,702.0,0.0,151962245.843,216470.435674,0.0,0.0
11,137284,45828,27162,30084,34210,58706.0,83366.0,161884,346,17873,15216,35484,45264,47701,0.966298778084,80847711.9873,499.417558173,2446,2446.0,0.0,463914954.608,189662.696078,0.0,0.0
20,109039,38235,28885,21737,20182,67038.0,44851.0,80462,252,11724,10584,14102,24491,19309,0.974528327181,50013786.4586,621.582690694,982,982.0,0.0,681412221.833,693902.466225,0.0,0.0
28,16504,2259,3500,3960,6785,14804.0,2946.0,21719,3958,4679,1749,2003,5241,4089,0.929802816901,14343301.0,660.403379529,0,0.0,0.0,0.0,0.0,0.0,0.0
21,103257,29330,25651,23123,25153,73782.0,34615.0,132970,215,11489,16742,26657,43948,33919,0.952581713516,73460351.2925,552.45808297,412,412.0,0.0,207542427.201,503743.755343,0.0,0.0
4,58185,16362,16036,12275,13512,34769.0,24680.0,30195,15,962,3673,5108,13330,7107,0.978738078016,16128647.3558,534.149606087,8,8.0,0.0,6104629.48886,763078.686108,0.0,0.0
26,98589,23703,22915,22856,29115,79009.0,17361.0,84027,1831,11756,15046,8970,25752,20672,1.02302583792,54578169.3737,649.531333664,148,148.0,0.0,84501853.3022,570958.468258,0.0,0.0
25,56472,14090,15314,13223,13845,37861.0,17296.0,47665,149,6323,6451,8738,14664,11340,1.02384103559,28029366.0,588.049218504,208,208.0,0.0,210994624.668,1014397.23398,0.0,0.0
