juris,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
Livermore,27870,5281,6817,7622,8150,23841,5346.0,40943,279.0,6546,4693,11093,8382,9950,0.954877171343,33372900.0,815.106367389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hayward,46209,13495,14269,10743,7702,27850,17875.0,65372,55.0,17343,6402,10110,15562,15900,1.01058501914,59516915.0,910.434360277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonoma County,58052,13009,16692,14670,13681,56678,10902.0,49918,4600.0,9299,4686,7235,13315,10783,0.859011541876,31998843.0,641.02814616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fremont,71827,14764,17826,18336,20901,48461,22107.0,87991,168.0,25308,8071,18796,20291,15357,1.01784094774,71963706.0,817.853030424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pleasanton,24846,4015,5379,6107,9345,18119,7020.0,61193,204.0,7240,11076,17159,10965,14549,0.988344802896,35037369.0,572.571519618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dublin,15689,3230,3214,3860,5385,11805,2859.0,19447,74.0,2036,3493,4099,4283,5462,1.06989907256,12884952.0,662.567593973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Contra Costa County,57919,12477,14811,13724,16907,49873,11993.0,34007,210.0,4348,3856,8705,9008,7880,0.93620082113,22963518.0,675.258564413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brentwood,15885,2923,3992,4373,4597,16767,1284.0,9934,151.0,463,1708,2258,3043,2311,0.880006647831,6901211.0,694.70616066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Ramon,25342,3428,4651,5864,11399,20605,6059.0,47848,436.0,3641,4102,12040,10706,16923,0.950420042004,26503867.0,553.917969403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oakley,10082,2001,2832,2938,2311,10891,516.0,3021,22.0,166,683,680,898,572,0.883843254142,2068713.0,684.7775571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antioch,31288,6827,8722,8384,7355,28560,6188.0,18965,39.0,1164,4364,3261,6669,3468,0.900425923794,13952887.0,735.717743211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Napa County,10757,1778,2695,2618,3666,11416,1091.0,18831,3200.0,6028,1235,1697,3540,3131,0.860078356121,15991258.0,849.198555573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Francisco,388652,127929,98718,75537,86468,112895,294211.0,663982,625.0,33211,39963,229741,218218,142224,0.954670282433,385165517.859,580.084276169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Mateo County,21795,3321,4823,5094,8557,20204,2506.0,22655,486.0,4254,1120,6258,5636,4901,0.959709379128,13221011.0,583.580269256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
